1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2,1,2,1,4,-1,11,7,1,1,-1,-1,-1,1,2,1,4,1,2,2,2,1,1,3,2,3,1
3,7,1,10,11,5,5,26,14,4,-1,-1,1,2,8,-1,4,13,1,6,8,3,-1,5,5,3,3,2
5,3,4,7,16,10,9,47,15,7,4,-1,6,4,7,3,4,12,7,10,11,13,1,5,23,4,1,3
10,6,8,24,13,16,9,59,21,8,8,-1,4,7,16,7,3,14,9,10,6,14,3,6,16,15,7,6
13,8,15,40,25,16,11,101,27,7,3,5,7,2,15,7,5,13,11,17,14,22,2,11,21,17,4,4
23,8,8,41,37,20,9,89,33,12,8,2,11,8,18,9,7,19,7,19,26,34,2,15,28,18,6,5
30,14,14,38,28,21,9,114,29,11,9,11,11,14,27,7,9,34,18,28,28,36,3,13,33,25,12,11
36,17,11,40,27,22,12,128,34,16,16,13,11,20,34,9,11,31,24,26,32,37,10,18,53,24,16,11
31,11,15,50,23,34,12,125,42,18,16,10,21,35,36,15,13,39,20,40,27,41,12,16,52,21,15,15
21,14,8,40,32,29,11,121,36,17,23,15,22,24,42,10,11,48,16,36,27,61,5,17,52,37,13,8
21,7,9,29,18,29,6,107,34,12,16,9,20,20,47,18,21,46,31,43,36,66,17,23,72,44,15,9
19,16,5,21,12,25,16,101,27,13,11,13,22,29,54,13,15,42,39,44,34,69,10,30,84,45,17,19
11,7,6,15,12,17,12,124,19,25,9,10,17,30,43,14,24,52,21,44,32,54,9,34,80,33,17,22
6,2,-1,12,9,13,12,83,31,14,12,16,21,33,48,16,21,40,23,46,36,57,9,27,70,44,13,13
1,2,4,-1,2,14,2,55,22,15,9,7,12,18,57,15,25,35,33,35,25,45,10,21,74,35,15,9
1,-1,-1,2,1,6,4,35,10,4,10,11,13,6,32,13,11,44,31,35,30,50,12,25,72,30,26,13
1,-1,-1,1,4,5,5,27,17,6,10,8,8,10,26,8,18,25,21,42,20,49,16,21,60,31,8,10
-1,2,3,2,-1,5,-1,32,12,6,2,4,8,14,23,12,19,20,22,35,25,42,10,26,40,27,9,5
1,-1,-1,-1,2,2,-1,20,4,3,7,4,5,9,17,13,12,23,22,23,18,30,10,25,44,27,16,6
1,-1,-1,1,1,3,1,8,7,6,6,5,3,4,16,1,8,14,25,30,14,43,8,15,36,10,9,6
-1,-1,-1,-1,-1,2,1,12,1,5,5,2,2,5,6,4,8,14,13,24,15,29,2,14,34,14,4,2
-1,-1,-1,-1,-1,2,-1,12,2,2,2,5,1,3,6,4,5,18,14,17,13,22,5,13,29,16,8,5
-1,-1,-1,-1,1,4,3,11,4,1,1,1,3,1,5,2,11,8,10,13,10,23,5,10,26,13,7,2
-1,-1,-1,1,1,3,-1,10,4,2,2,5,-1,-1,4,6,6,12,9,16,8,27,10,9,38,9,2,4
-1,-1,-1,-1,-1,2,-1,4,6,-1,-1,2,1,1,4,4,6,8,11,11,10,19,6,7,30,15,6,6
-1,-1,-1,-1,-1,-1,-1,7,-1,2,7,1,-1,2,12,2,2,8,8,13,9,18,4,9,33,13,3,5
-1,-1,-1,-1,-1,-1,2,4,2,3,1,2,-1,2,3,1,3,8,8,15,7,17,8,10,25,13,5,4
-1,-1,-1,-1,-1,1,-1,5,1,-1,3,1,-1,1,6,4,8,8,6,9,5,18,4,9,25,8,8,4
-1,-1,-1,-1,-1,1,1,2,4,1,1,1,-1,2,7,3,2,8,7,8,12,8,6,11,20,5,5,-1
-1,-1,-1,-1,-1,-1,-1,5,6,1,4,-1,2,-1,3,1,2,11,5,7,7,12,9,10,22,9,4,7
-1,-1,-1,-1,-1,-1,-1,-1,3,-1,1,1,1,4,5,2,2,13,5,6,5,9,6,8,25,7,2,1
-1,-1,-1,-1,1,-1,-1,6,-1,-1,1,1,2,1,5,3,-1,3,4,5,3,10,1,6,15,6,3,3
-1,-1,-1,-1,-1,2,-1,1,2,-1,3,-1,-1,2,6,4,1,1,5,7,5,17,6,1,12,8,3,1
-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,1,1,-1,2,2,-1,4,4,5,3,14,1,6,14,3,3,3
-1,-1,-1,-1,-1,2,-1,2,-1,2,2,1,-1,-1,2,1,2,7,5,7,2,8,3,9,12,6,3,1
-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,1,2,-1,5,4,3,3,6,6,5,3,10,3,3,3
-1,-1,-1,-1,-1,-1,1,4,1,-1,-1,2,2,1,-1,1,1,2,6,4,3,10,3,4,10,6,3,1
-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,2,2,-1,1,4,1,4,-1,8,4,6,1,5,3,-1
-1,-1,1,-1,-1,-1,-1,2,1,-1,1,3,1,2,1,1,2,2,2,5,2,10,3,3,7,1,2,1
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,2,2,3,3,3,4,2,7,1,4,6,6,-1,-1
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,3,1,1,3,3,1,1,4,3,7,8,7,3,-1
-1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,2,3,4,3,2,3,-1,-1,10,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,-1,1,3,2,1,2,7,4,5,5,2,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,2,1,1,7,-1,3,11,1,3,-1
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,2,-1,-1,4,2,2,5,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,2,3,3,2,5,1,2,2,5,1,-1
-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,2,1,1,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,4,1,-1,2,4,3,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,2,1,2,-1,5,2,1,4,2,-1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2,1,3,-1,-1,-1,2,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,4,-1,1,6,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,2,5,3,3,2,2,9,3,-1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,2,3,-1,2,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,3,1,3,1,-1,1,2,4,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,3,2,2,5,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,1,2,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,4,1,-1,4,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,2,-1,-1,1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,2,-1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,3,-1,1,3,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,2,1,-1,1,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,5,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,2,-1,1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
