Age,param,value
3-5,binned_phi_a_rel[1],"1.043 (0.925, 1.173)"
6-8,binned_phi_a_rel[2],"1.298 (1.174, 1.448)"
9-11,binned_phi_a_rel[3],"1.482 (1.340, 1.638)"
12-14,binned_phi_a_rel[4],"1.413 (1.280, 1.564)"
15-17,binned_phi_a_rel[5],"1.144 (1.044, 1.260)"
18-20,binned_phi_a_rel[6],"0.864 (0.781, 0.962)"
21-23,binned_phi_a_rel[7],"0.659 (0.587, 0.736)"
24-26,binned_phi_a_rel[8],"0.681 (0.602, 0.769)"
27-29,binned_phi_a_rel[9],"0.756 (0.668, 0.859)"
30-39,binned_phi_a_rel[10],"0.762 (0.681, 0.853)"
40-49,binned_phi_a_rel[11],"0.775 (0.685, 0.881)"
50-59,binned_phi_a_rel[12],"0.965 (0.831, 1.114)"
60-Inf,binned_phi_a_rel[13],"1.530 (1.283, 1.801)"
