year,FOI
1984,"0.019 (0.016, 0.023)"
1985,"0.181 (0.090, 0.273)"
1986,"0.121 (0.020, 0.227)"
1987,"0.046 (0.003, 0.132)"
1988,"0.018 (0.001, 0.074)"
1989,"0.023 (0.001, 0.090)"
1990,"0.021 (0.001, 0.087)"
1991,"0.021 (0.001, 0.084)"
1992,"0.011 (0.001, 0.058)"
1993,"0.018 (0.001, 0.079)"
1994,"0.034 (0.002, 0.085)"
1995,"0.020 (0.001, 0.054)"
1996,"0.015 (0.003, 0.030)"
1997,"0.046 (0.009, 0.087)"
1998,"0.009 (0.001, 0.028)"
1999,"0.011 (0.001, 0.035)"
2000,"0.006 (0.002, 0.010)"
2001,"0.040 (0.017, 0.065)"
2002,"0.005 (0.001, 0.020)"
2003,"0.003 (0.001, 0.011)"
2004,"0.005 (0.001, 0.016)"
2005,"0.003 (0.001, 0.011)"
2006,"0.005 (0.001, 0.014)"
2007,"0.007 (0.001, 0.018)"
2008,"0.011 (0.003, 0.030)"
2009,"0.006 (0.001, 0.015)"
2010,"0.026 (0.017, 0.035)"
2011,"0.043 (0.030, 0.058)"
2012,"0.005 (0.002, 0.011)"
2013,"0.005 (0.002, 0.012)"
2014,"0.003 (0.001, 0.008)"
2015,"0.004 (0.002, 0.011)"
2016,"0.003 (0.001, 0.009)"
2017,"0.004 (0.002, 0.012)"
2018,"0.017 (0.006, 0.033)"
2019,"0.015 (0.005, 0.028)"
2020,"0.006 (0.002, 0.012)"
