Year,param,value
1994-1995,binned_phi_t[1],"0.020 (0.010, 0.071)"
1996-1997,binned_phi_t[2],"0.025 (0.013, 0.065)"
1998-1999,binned_phi_t[3],"0.041 (0.020, 0.139)"
2000-2001,binned_phi_t[4],"0.073 (0.044, 0.149)"
2002-2003,binned_phi_t[5],"0.116 (0.047, 0.456)"
2004-2005,binned_phi_t[6],"0.071 (0.030, 0.284)"
2006-2007,binned_phi_t[7],"0.082 (0.039, 0.284)"
2008-2009,binned_phi_t[8],"0.097 (0.049, 0.307)"
2010-2011,binned_phi_t[9],"0.046 (0.033, 0.066)"
2012-2013,binned_phi_t[10],"0.252 (0.129, 0.633)"
2014-2015,binned_phi_t[11],"0.200 (0.096, 0.588)"
2016-2017,binned_phi_t[12],"0.181 (0.084, 0.554)"
2018-Inf,binned_phi_t[13],"0.058 (0.034, 0.122)"
