Age,param,value
3-5,binned_phi_a_rel[1],"0.837 (0.739, 0.951)"
6-8,binned_phi_a_rel[2],"1.129 (1.009, 1.258)"
9-11,binned_phi_a_rel[3],"1.371 (1.243, 1.510)"
12-14,binned_phi_a_rel[4],"1.439 (1.306, 1.575)"
15-17,binned_phi_a_rel[5],"1.162 (1.063, 1.280)"
18-20,binned_phi_a_rel[6],"0.902 (0.817, 0.998)"
21-23,binned_phi_a_rel[7],"0.704 (0.632, 0.792)"
24-26,binned_phi_a_rel[8],"0.719 (0.634, 0.815)"
27-29,binned_phi_a_rel[9],"0.800 (0.699, 0.908)"
30-39,binned_phi_a_rel[10],"0.866 (0.766, 0.972)"
40-49,binned_phi_a_rel[11],"0.969 (0.836, 1.118)"
50-59,binned_phi_a_rel[12],"1.184 (1.002, 1.403)"
60-Inf,binned_phi_a_rel[13],"1.243 (1.023, 1.497)"
