year,FOI
1984,"0.028 (0.024, 0.032)"
1985,"0.135 (0.062, 0.212)"
1986,"0.140 (0.054, 0.223)"
1987,"0.044 (0.007, 0.106)"
1988,"0.026 (0.004, 0.080)"
1989,"0.036 (0.006, 0.098)"
1990,"0.037 (0.006, 0.105)"
1991,"0.033 (0.005, 0.088)"
1992,"0.025 (0.004, 0.080)"
1993,"0.027 (0.004, 0.077)"
1994,"0.045 (0.016, 0.082)"
1995,"0.027 (0.009, 0.051)"
1996,"0.014 (0.007, 0.024)"
1997,"0.044 (0.022, 0.070)"
1998,"0.016 (0.007, 0.028)"
1999,"0.021 (0.009, 0.035)"
2000,"0.007 (0.004, 0.010)"
2001,"0.046 (0.031, 0.066)"
2002,"0.010 (0.003, 0.022)"
2003,"0.005 (0.002, 0.012)"
2004,"0.016 (0.007, 0.027)"
2005,"0.011 (0.005, 0.018)"
2006,"0.006 (0.002, 0.012)"
2007,"0.008 (0.003, 0.015)"
2008,"0.014 (0.006, 0.025)"
2009,"0.006 (0.003, 0.011)"
2010,"0.009 (0.005, 0.014)"
2011,"0.018 (0.010, 0.027)"
2012,"0.007 (0.003, 0.013)"
2013,"0.008 (0.003, 0.016)"
2014,"0.005 (0.002, 0.010)"
2015,"0.008 (0.003, 0.017)"
2016,"0.003 (0.001, 0.008)"
2017,"0.009 (0.002, 0.020)"
2018,"0.029 (0.014, 0.049)"
2019,"0.023 (0.012, 0.038)"
2020,"0.009 (0.005, 0.015)"
