Year,param,value
1994-1995,binned_phi_t[1],"0.019 (0.010, 0.055)"
1996-1997,binned_phi_t[2],"0.029 (0.017, 0.058)"
1998-1999,binned_phi_t[3],"0.044 (0.025, 0.095)"
2000-2001,binned_phi_t[4],"0.074 (0.050, 0.116)"
2002-2003,binned_phi_t[5],"0.124 (0.056, 0.396)"
2004-2005,binned_phi_t[6],"0.040 (0.023, 0.091)"
2006-2007,binned_phi_t[7],"0.115 (0.055, 0.347)"
2008-2009,binned_phi_t[8],"0.107 (0.063, 0.269)"
2010-2011,binned_phi_t[9],"0.092 (0.060, 0.167)"
2012-2013,binned_phi_t[10],"0.182 (0.097, 0.453)"
2014-2015,binned_phi_t[11],"0.160 (0.075, 0.456)"
2016-2017,binned_phi_t[12],"0.107 (0.045, 0.380)"
2018-Inf,binned_phi_t[13],"0.035 (0.021, 0.072)"
