year,FOI
1984,"0.041 (0.006, 0.127)"
1985,"0.034 (0.006, 0.102)"
1986,"0.022 (0.003, 0.065)"
1987,"0.064 (0.022, 0.109)"
1988,"0.040 (0.009, 0.083)"
1989,"0.066 (0.031, 0.101)"
1990,"0.027 (0.005, 0.057)"
1991,"0.024 (0.005, 0.051)"
1992,"0.027 (0.006, 0.055)"
1993,"0.041 (0.017, 0.064)"
1994,"0.010 (0.001, 0.027)"
1995,"0.013 (0.002, 0.033)"
1996,"0.028 (0.008, 0.051)"
1997,"0.017 (0.004, 0.036)"
1998,"0.032 (0.023, 0.041)"
1999,"0.027 (0.020, 0.034)"
2000,"0.001 (0.000, 0.004)"
2001,"0.031 (0.024, 0.038)"
2002,"0.002 (0.000, 0.006)"
2003,"0.032 (0.021, 0.043)"
2004,"0.003 (0.001, 0.008)"
2005,"0.007 (0.003, 0.011)"
2006,"0.015 (0.011, 0.020)"
2007,"0.007 (0.004, 0.011)"
2008,"0.015 (0.003, 0.034)"
2009,"0.012 (0.002, 0.031)"
2010,"0.036 (0.010, 0.064)"
2011,"0.018 (0.003, 0.050)"
2012,"0.018 (0.003, 0.051)"
2013,"0.022 (0.003, 0.059)"
2014,"0.018 (0.003, 0.051)"
2015,"0.005 (0.001, 0.013)"
2016,"0.003 (0.001, 0.009)"
2017,"0.002 (0.000, 0.007)"
2018,"0.042 (0.031, 0.053)"
2019,"0.016 (0.003, 0.045)"
2020,"0.042 (0.006, 0.137)"
