iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.9488798826873245,0.9730214282454822,0.9892189785877455
1,1998,4,0,0.9306552057793585,0.9612669990943491,0.9826274627199993
1,1998,5,0,0.9151551860666646,0.9485785178002266,0.9742094212643776
1,1998,6,0,0.8902781248450184,0.9291159191550988,0.9618930328934177
1,1998,7,0,0.8574653155728708,0.9046965966372666,0.944672420965752
1,1998,8,0,0.8210838450589967,0.8736954954897467,0.9209244815249746
1,1998,9,0,0.7691673425400233,0.8353797050305782,0.8917363570291317
1,1998,10,0,0.6750724664952783,0.7728030928476578,0.8521241170747771
1,1998,11,0,0.5521733467785728,0.6744856048471402,0.7736054520651592
1,1998,12,0,0.39712986527890887,0.5275670066660455,0.6578646584333085
1,1998,13,0,0.24889351703408252,0.4211492228865532,0.6033617502713754
1,1998,14,0,0.14870316667417338,0.3319437673447155,0.556223516931752
1,1998,15,0,0.08768493476814189,0.2631102068303274,0.5237018938164698
1,1998,16,0,0.051035205168189,0.206720891617325,0.4878864139104668
1,1998,17,0,0.029906247184302803,0.1602095214799967,0.4459693248831386
1,1998,18,0,0.016135103427045352,0.1221317387558113,0.419799743164269
1,1998,19,0,0.008897707050758184,0.09370053683589327,0.3907103476428872
1,1998,20,0,0.004875835629293927,0.07126181010421828,0.36368735375084377
1,1998,21,0,0.002555408398357507,0.05351687511082538,0.3428862852773425
1,1998,22,0,0.001336029032785111,0.04086101133785294,0.32140845011015423
1,1998,23,0,7.028576613673902e-4,0.031333806392132915,0.3082288163142392
1,1998,24,0,4.049750245315545e-4,0.02444392577280227,0.29238428201389
1,1998,25,0,2.3261743099442357e-4,0.019014821286936434,0.2764960216385001
1,1998,26,0,1.3170012352603353e-4,0.014699878484387835,0.2597848344473583
1,1998,27,0,7.29156075880452e-5,0.011250888866122861,0.2477170043338382
1,1998,28,0,4.093927358289725e-5,0.008688693570169125,0.2377276238791179
1,1998,29,0,2.270583903822405e-5,0.0068281940469249805,0.23714838398787746
1,1998,30,0,1.3666914280061925e-5,0.00544196575495026,0.22521428588066428
2,1999,3,0,0.9528734386145093,0.9758672420329773,0.9902248841714586
2,1999,4,0,0.9393720626247573,0.96506415185819,0.9842173891580027
2,1999,5,0,0.9223455730184302,0.954373715001367,0.9776202862589968
2,1999,6,0,0.9056248661203776,0.9415479128248072,0.9682233928719409
2,1999,7,0,0.879873563694695,0.9208153747069342,0.9554995221072465
2,1999,8,0,0.8490387176426794,0.8969636943613917,0.9378353155428416
2,1999,9,0,0.8132923295069094,0.8660712944037946,0.9142256675942446
2,1999,10,0,0.7610702960583953,0.8268968375867343,0.8842966286791132
