iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.34903802973606707,0.5528760341740655,0.7209685525992325
1,1998,4,0,0.2545430553157933,0.45249266071635413,0.6359623076776615
1,1998,5,0,0.1940176489671021,0.37164797537619065,0.5534047082015535
1,1998,6,0,0.15286343742466205,0.30395554236465305,0.48258874212432024
1,1998,7,0,0.11168420095159788,0.2399894358716931,0.4059910490627327
1,1998,8,0,0.08177657946505867,0.1846348011384694,0.33949300499450363
1,1998,9,0,0.05807771684024906,0.14388953107420047,0.28088073016203285
1,1998,10,0,0.041440899668257286,0.11243562466241162,0.23332396680745057
1,1998,11,0,0.031310038985947544,0.08796810933317589,0.19666745694206617
1,1998,12,0,0.022801804381998452,0.06836471360474773,0.1616975237294781
1,1998,13,0,0.015383702906695263,0.05241273415245461,0.1399393864285911
1,1998,14,0,0.008856529226862605,0.04062129777606294,0.12235513760497571
1,1998,15,0,0.0053155805307058945,0.03136243666265817,0.10826390866814853
1,1998,16,0,0.003176645559716038,0.025353088676154618,0.09951669897490872
1,1998,17,0,0.001768483841893284,0.020871735878742092,0.09103421973696442
1,1998,18,0,9.10651792190375e-4,0.01700256660010714,0.08569182953898363
1,1998,19,0,5.411066465809827e-4,0.014671714938551572,0.08378987904887382
1,1998,20,0,2.9039768899937434e-4,0.012484777909274991,0.0804414563269216
1,1998,21,0,1.6335308014870184e-4,0.010348660652102057,0.07918390876374976
1,1998,22,0,8.854914170075269e-5,0.008979600812084588,0.07931935835584417
1,1998,23,0,5.1423018870356475e-5,0.007817274285774837,0.07853389390870384
1,1998,24,0,2.8359504463936848e-5,0.006850948344481122,0.07994325600950979
1,1998,25,0,1.6052480225017627e-5,0.005971216786352745,0.08655792854693302
1,1998,26,0,7.707583025965066e-6,0.005280519513257252,0.08852002189769748
1,1998,27,0,4.397016240155812e-6,0.004623479862803651,0.08993604896067355
1,1998,28,0,2.4932329155705095e-6,0.004014500462791318,0.0902985721803286
1,1998,29,0,1.3697955665422546e-6,0.0035015341006338157,0.09156421003218143
1,1998,30,0,8.436857799041793e-7,0.0030073360640723874,0.09253768866553996
2,1999,3,0,0.3912567456292576,0.5530886796112158,0.6561212521069469
2,1999,4,0,0.28586657746946487,0.45352495588653363,0.5903743409978292
2,1999,5,0,0.20818104374233787,0.37093657757345366,0.5242778020335087
2,1999,6,0,0.1572090314682097,0.30379743501396317,0.4556367518913918
2,1999,7,0,0.12003961766013704,0.23888262798763288,0.38340053093155163
2,1999,8,0,0.08801409926406667,0.1882483950063667,0.319353034803403
2,1999,9,0,0.06409618623673267,0.14561357284736742,0.2683425734871749
2,1999,10,0,0.04530415510162019,0.11200880609780986,0.2214155912570567
2,1999,11,0,0.03233402813669008,0.08785523167611578,0.18154373181650935
2,1999,12,0,0.02467472040710394,0.06885685209892622,0.15370307623809534
2,1999,13,0,0.017494787964588452,0.052056252642697975,0.12197437304093661
2,1999,14,0,0.011621599478444168,0.040061862756260155,0.10712623647218958
2,1999,15,0,0.006865075418592092,0.030826327088313468,0.09363938712078494
2,1999,16,0,0.004201047873949967,0.02472059374490443,0.08643735194418278
2,1999,17,0,0.002494277698739053,0.02023543393011792,0.07903206484459308
