iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.0018474228887542339,0.04492365784778318,0.4094325036469132
1,1998,4,0,2.234228696817542e-4,0.010448645295716326,0.24117704217752597
1,1998,5,0,3.438458042245742e-5,0.00274589078846099,0.10302902745697796
1,1998,6,0,4.505713317273327e-6,7.381975830166379e-4,0.04944385626629968
1,1998,7,0,6.890770527808092e-7,1.9299160521846494e-4,0.02279390979390449
1,1998,8,0,1.4107314237957648e-07,5.063701339618926e-5,0.00723043928325692
1,1998,9,0,2.21933080940945e-8,1.1553669598566538e-5,0.002420052525646478
1,1998,10,0,3.6588417724082404e-9,2.9851185244568475e-6,0.0010540782469705351
1,1998,11,0,6.608430582504462e-10,8.186296568117359e-7,3.9110272150897143e-4
1,1998,12,0,1.175142719837556e-10,2.1319079263611807e-7,1.428276869379258e-4
1,1998,13,0,1.4797130735927725e-11,5.4115400451023644e-8,6.749839138798163e-5
1,1998,14,0,9.327594158211819e-13,1.648969523921901e-8,4.7573894681915474e-5
1,1998,15,0,4.209951910159548e-14,5.317390586072478e-9,2.7447516180429922e-5
1,1998,16,0,1.5472040458108802e-15,1.7990281331406353e-9,2.2496562286879116e-5
1,1998,17,0,6.211770102186073e-17,6.168164668573259e-10,1.5251824437630252e-5
1,1998,18,0,2.0475734104556352e-18,2.2879994417110137e-10,1.4703997032939036e-5
1,1998,19,0,5.749525089323947e-20,7.841922663522903e-11,1.2130726197225815e-5
1,1998,20,0,1.499103540947754e-21,2.7077578332388925e-11,9.728535332518404e-6
1,1998,21,0,3.98738050439042e-23,8.467592565016676e-12,8.340067938522595e-6
1,1998,22,0,1.1488142294702618e-24,2.7518693416214473e-12,6.811083998286431e-6
1,1998,23,0,3.2528012751226475e-26,8.769570625754324e-13,5.380997099269551e-6
1,1998,24,0,8.495139753917294e-28,2.7086364784553186e-13,4.561990837615848e-6
1,1998,25,0,1.9621757319880913e-29,8.564870482009317e-14,3.7460547043483635e-6
1,1998,26,0,6.641789816893717e-31,2.790688780525925e-14,2.818686384095637e-6
1,1998,27,0,1.4103266852213665e-32,8.87023936093277e-15,2.342254730325551e-6
1,1998,28,0,3.39112931040212e-34,2.954097098412738e-15,2.0004515273321527e-6
1,1998,29,0,9.031326109718943e-36,9.979244659361287e-16,1.7097816602066609e-6
1,1998,30,0,2.40518997438022e-37,3.451740450788304e-16,1.5836704574191547e-6
2,1999,3,0,0.009459073219877661,0.11263130159496686,0.3509788927951996
2,1999,4,0,0.0011467989780956955,0.027680933631372334,0.2501996262346363
2,1999,5,0,1.35914707135414e-4,0.006427250109592605,0.1479649501365949
2,1999,6,0,2.0910999419530747e-5,0.0016831441844235035,0.06391806249256218
2,1999,7,0,2.811477785361107e-6,4.523820581947339e-4,0.030023292948579763
2,1999,8,0,4.099143768309189e-7,1.1826208886598049e-4,0.01383859396710706
2,1999,9,0,8.650295389821414e-8,3.0911587571356075e-5,0.004461135562672725
2,1999,10,0,1.4025522667288771e-8,7.007984294243002e-6,0.0015213787289790799
2,1999,11,0,2.186409855935939e-9,1.8510087513999165e-6,6.439705092581322e-4
2,1999,12,0,4.076697133965721e-10,5.041458204599503e-7,2.401448177361382e-4
2,1999,13,0,7.356797283251527e-11,1.307873086680046e-7,8.387959902298732e-5
2,1999,14,0,9.77698425444164e-12,3.3200674124406034e-8,4.044249651298127e-5
2,1999,15,0,5.898774089467912e-13,1.0161931711548631e-8,2.870770233845913e-5
2,1999,16,0,2.5439470397818807e-14,3.2918610256123868e-9,1.663118292911298e-5
2,1999,17,0,9.595087970147404e-16,1.0962157581577438e-9,1.32487367900787e-5
2,1999,18,0,3.868424159295941e-17,3.714497133374871e-10,9.74543085332604e-6
2,1999,19,0,1.2314475727196027e-18,1.4024724324375045e-10,9.063827182290808e-6
2,1999,20,0,3.5390261831342393e-20,4.8606671322412124e-11,7.49596133439927e-6
2,1999,21,0,8.986077469469207e-22,1.650773043928996e-11,5.984875907952017e-6
2,1999,22,0,2.4595482998190634e-23,5.2181817154986316e-12,5.128225035901196e-6
2,1999,23,0,6.857529845875515e-25,1.7137179319085173e-12,4.243025931708011e-6
2,1999,24,0,2.0472185460097375e-26,5.452927958241269e-13,3.347799680839103e-6
2,1999,25,0,5.2462494029855665e-28,1.649564822755575e-13,2.9045414714471738e-6
2,1999,26,0,1.1560760695535772e-29,5.255297041237562e-14,2.2422865543626765e-6
2,1999,27,0,3.964507535836474e-31,1.756391881257595e-14,1.7061911498357844e-6
2,1999,28,0,8.764402896833089e-33,5.5925637750187256e-15,1.3915216093849628e-6
2,1999,29,0,2.0304372123070507e-34,1.8377736007091663e-15,1.1809806242778715e-6
2,1999,30,0,5.412036909500955e-36,6.149515271320137e-16,1.0591796551952027e-6
3,2000,3,0,0.2580741264452665,0.28177401487136045,0.3052555221724562
3,2000,4,0,0.00725732809459671,0.08501181418368353,0.267510630446772
3,2000,5,0,8.750371148811399e-4,0.021067997343086564,0.19060178444581624
3,2000,6,0,1.0256976188328315e-4,0.00489272791494837,0.1118579283729835
3,2000,7,0,1.5925671381550507e-5,0.0012777699162423379,0.04902283296168279
3,2000,8,0,2.1357950896049025e-6,3.3978528503033267e-4,0.022731206423462894
3,2000,9,0,3.1158029613476734e-7,9.02398581229189e-5,0.010490160443941535
3,2000,10,0,6.711900994138244e-8,2.350395982642222e-5,0.0033689845626832613
3,2000,11,0,1.0738963243393001e-8,5.333320636549165e-6,0.0011619650032759724
3,2000,12,0,1.6738595059157632e-9,1.4208856037950707e-6,4.731416420186716e-4
3,2000,13,0,3.093065782608644e-10,3.821567113121498e-7,1.8355175528497118e-4
3,2000,14,0,5.816313547096414e-11,9.866142082383878e-8,6.506719690400726e-5
3,2000,15,0,7.265357696130686e-12,2.5142591026623616e-8,3.0924604889434945e-5
3,2000,16,0,4.4632409561735463e-13,7.776748325114598e-9,2.2271153268201676e-5
3,2000,17,0,1.9169286415923594e-14,2.4997566245254653e-9,1.2676215493179834e-5
3,2000,18,0,7.25932407192631e-16,8.281279305009137e-10,1.0107447605375548e-5
3,2000,19,0,2.927183009363032e-17,2.8260178350723e-10,7.314397205139667e-6
3,2000,20,0,9.574418850406861e-19,1.0507644596692983e-10,6.835163342868628e-6
3,2000,21,0,2.6569342090205987e-20,3.651009766528538e-11,5.720079277312876e-6
3,2000,22,0,6.830351212765367e-22,1.2657122303148215e-11,4.500417702693826e-6
3,2000,23,0,1.8834444141051264e-23,3.978008088174855e-12,3.867867139358768e-6
3,2000,24,0,5.406773141465906e-25,1.2906507753209218e-12,3.1416625675115386e-6
3,2000,25,0,1.513721061856525e-26,4.070964057747005e-13,2.563986771720319e-6
3,2000,26,0,3.8901182569292666e-28,1.2497853478824492e-13,2.1684639249060407e-6
