iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.5758027802402812,0.6481751032880714,0.7299128182561434
1,1998,4,0,0.5287527566453544,0.592894435989155,0.6616425023487544
1,1998,5,0,0.4853537823075825,0.5459446847340278,0.6103523314500967
1,1998,6,0,0.3847183336505585,0.44295961303387477,0.517941351268083
1,1998,7,0,0.3126757509606777,0.36392132769266317,0.4262124111994329
1,1998,8,0,0.23707543225118483,0.2785260459471378,0.3238219094855963
1,1998,9,0,0.19043630396909828,0.22617274432744278,0.2653033097575518
1,1998,10,0,0.1376432747064591,0.16714673982785752,0.2038857295097346
1,1998,11,0,0.10248274601837777,0.1257615252311331,0.15230099638715378
1,1998,12,0,0.08275587833680782,0.10106857787586992,0.12035674726400515
1,1998,13,0,0.058496608398611406,0.08081584869987021,0.10451650046491376
1,1998,14,0,0.0386603467834187,0.06348276191405793,0.09091440530643215
1,1998,15,0,0.025105405062402796,0.05086427200136192,0.08028573987656201
1,1998,16,0,0.01675610288686488,0.040614062227584666,0.07232486749345009
1,1998,17,0,0.01137966666923601,0.033341103710408986,0.06642586554856009
1,1998,18,0,0.007341312231195458,0.027070922950788008,0.06300145111481949
1,1998,19,0,0.0048199784035896824,0.02233304415985226,0.059837555084197296
1,1998,20,0,0.0031276565048691824,0.01867870957700208,0.058415992632937695
1,1998,21,0,0.002063690955478639,0.015800960363158208,0.05735166691894128
1,1998,22,0,0.001365970268553359,0.013132534404485741,0.056346853250348286
1,1998,23,0,9.135525526994737e-4,0.011285394495416,0.055431271666524735
1,1998,24,0,6.10645591984965e-4,0.009799317419920734,0.05754189813819786
1,1998,25,0,4.115079184508127e-4,0.008664936416321739,0.06102629903411447
1,1998,26,0,2.702052005394154e-4,0.007826194084678578,0.06444063762645451
1,1998,27,0,1.8897231679354493e-4,0.006848417360601676,0.06586780543926891
1,1998,28,0,1.3068028468135042e-4,0.006157436686748101,0.06838764776764225
1,1998,29,0,8.925535811081028e-5,0.005507771931103798,0.07099979643093791
1,1998,30,0,6.46307098878122e-5,0.004800530608274834,0.07055099786241173
2,1999,3,0,0.6044741440239367,0.6802558790519194,0.7698240019436223
2,1999,4,0,0.5236244283980027,0.5900079505715937,0.6655503341305802
2,1999,5,0,0.4832953049793332,0.5400743025305677,0.6021889739356058
2,1999,6,0,0.4419451316426515,0.49773049593864777,0.553873595474367
2,1999,7,0,0.3466152639876843,0.3964302584558084,0.4556905521274013
2,1999,8,0,0.2809891761145265,0.32578105353516695,0.3723703636667859
2,1999,9,0,0.2117936274434611,0.24793913931955364,0.28869316037611936
2,1999,10,0,0.16835816893073363,0.2019504844557528,0.2357630629349915
2,1999,11,0,0.12229549367341692,0.1493253892553478,0.18045729059005514
2,1999,12,0,0.0900277375112519,0.11217437820107905,0.13514621119292325
2,1999,13,0,0.07247664860404646,0.08868184077145506,0.10723594927711357
2,1999,14,0,0.05079020613491319,0.0708996642894934,0.09352730120931424
2,1999,15,0,0.03364956049930517,0.055744525745140425,0.08090240927244735
2,1999,16,0,0.02259435652076979,0.04541497731920777,0.07289041341992812
2,1999,17,0,0.014934956017068462,0.036393087794713626,0.06524654561039438
