iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.0012451912133765197,0.02860421792511292,0.29763947736672425
1,1998,4,0,2.0589716057969922e-4,0.008504420152586269,0.1422161853722821
1,1998,5,0,3.360484122164178e-5,0.0026615739495728773,0.08721580812329596
1,1998,6,0,4.872524603206944e-6,8.638634102235349e-4,0.05184677692137295
1,1998,7,0,6.951372338848434e-7,1.9430385957349046e-4,0.02208746540609564
1,1998,8,0,9.759951217349415e-8,4.4634789840749885e-5,0.004319825143009238
1,1998,9,0,2.1471920916203825e-8,9.339165204043249e-6,0.001180879479627136
1,1998,10,0,4.084764375146641e-9,1.937954080940148e-6,3.764566178654057e-4
1,1998,11,0,8.427769594427018e-10,4.92816578669099e-7,1.2444475133031492e-4
1,1998,12,0,1.495153282626948e-10,1.1322201146660292e-7,5.393876081944203e-5
1,1998,13,0,1.508032463545374e-11,3.1409404544490225e-8,3.377433119031485e-5
1,1998,14,0,8.254665998532625e-13,1.0128316143513475e-8,2.2931500074070577e-5
1,1998,15,0,3.646316856339765e-14,3.325632410931371e-9,1.878547639886881e-5
1,1998,16,0,1.0507799395648082e-15,1.1513234840663811e-9,1.5196437807902683e-5
1,1998,17,0,3.230669734277931e-17,3.827519518922079e-10,1.1562316435394044e-5
1,1998,18,0,1.187136930123456e-18,1.2581615033139962e-10,8.958184755370084e-6
1,1998,19,0,2.4842806371610964e-20,4.3160799526277184e-11,7.755688500033508e-6
1,1998,20,0,8.221587818471374e-22,1.4111158746057892e-11,7.298911291701735e-6
1,1998,21,0,2.434876717944871e-23,4.7848323742070735e-12,5.98284376294111e-6
1,1998,22,0,7.840737657304833e-25,1.8038401073084567e-12,4.708775262394068e-6
1,1998,23,0,2.385212540520084e-26,6.124556146988065e-13,3.829575249059143e-6
1,1998,24,0,6.197711831777391e-28,1.9126322362994432e-13,2.9076835028424427e-6
1,1998,25,0,1.6381633002302062e-29,5.512452359479216e-14,2.500396729217155e-6
1,1998,26,0,4.794133568360321e-31,1.76188072919187e-14,2.433542806429066e-6
1,1998,27,0,1.2677147434228826e-32,6.404550675713674e-15,2.2850582012496514e-6
1,1998,28,0,4.343151404219271e-34,2.338379910753011e-15,2.156871309165907e-6
1,1998,29,0,1.0839968590880454e-35,7.323300369793692e-16,1.8414862039175066e-6
1,1998,30,0,2.919074805771712e-37,2.383489305542618e-16,1.6059457870319894e-6
2,1999,3,0,0.013445954299394465,0.0780552726561273,0.4839709995897227
2,1999,4,0,9.290062539351382e-4,0.02191348705658472,0.22569125996384506
2,1999,5,0,1.5416973679037888e-4,0.006472561746953195,0.10592120769401231
2,1999,6,0,2.5510645969856464e-5,0.0020484387146173537,0.0647926207680713
2,1999,7,0,3.607945578830579e-6,6.651159854607752e-4,0.03870430416756774
2,1999,8,0,5.358244030002852e-7,1.5018309315711686e-4,0.015932335120687972
2,1999,9,0,7.668457157254044e-8,3.4442914984193325e-5,0.0032999836826168374
2,1999,10,0,1.6726603619898962e-8,7.20001026107221e-6,8.777429301076118e-4
2,1999,11,0,3.1083207790335015e-9,1.4621421337590855e-6,2.907348484307054e-4
2,1999,12,0,6.476668716345179e-10,3.8409539707716066e-7,9.108162710098116e-5
2,1999,13,0,1.102320023749445e-10,8.77962684602688e-8,4.0872068030756895e-5
2,1999,14,0,1.1804885647211401e-11,2.439945376444941e-8,2.568680477586549e-5
2,1999,15,0,6.385258493591761e-13,7.606714099401308e-9,1.8204797447494754e-5
2,1999,16,0,2.8251713360922794e-14,2.516757809782477e-9,1.44610979774338e-5
2,1999,17,0,8.317894220354473e-16,8.801198525029088e-10,1.1540957574277448e-5
2,1999,18,0,2.4986344901101613e-17,2.91490590987508e-10,9.149325537395638e-6
2,1999,19,0,9.123272161455972e-19,9.454262205124926e-11,6.7522975532335325e-6
2,1999,20,0,1.9217224527315568e-20,3.336779908852297e-11,6.0057314781904655e-6
2,1999,21,0,6.223147929719221e-22,1.0417156797563218e-11,5.679659316831963e-6
2,1999,22,0,1.84506907243614e-23,3.546131511129469e-12,4.43348387240608e-6
2,1999,23,0,5.900692890914099e-25,1.3372894894185254e-12,3.6245110348052863e-6
2,1999,24,0,1.8443141582075156e-26,4.798712577480281e-13,2.9630370396889127e-6
2,1999,25,0,4.674758696068049e-28,1.4283537903389068e-13,2.078474156378468e-6
2,1999,26,0,1.2697611213262e-29,4.12225235077476e-14,1.8638107388525548e-6
2,1999,27,0,3.7682695222344134e-31,1.3364586577690493e-14,1.7257065899578008e-6
2,1999,28,0,9.517366222017779e-33,5.025414112176855e-15,1.6261621014630247e-6
2,1999,29,0,3.2407451125353053e-34,1.793883987741715e-15,1.571459727525721e-6
2,1999,30,0,8.323662882074138e-36,5.658155476156168e-16,1.3813081534963944e-6
3,2000,3,0,0.5023175206218666,0.5636339148092626,0.6266125844994824
3,2000,4,0,0.011850874180585114,0.0697741035311944,0.4264884182377542
3,2000,5,0,8.531597487092377e-4,0.019482032604889926,0.2006063222160707
3,2000,6,0,1.3625426184816133e-4,0.005748376811190614,0.09341054720055478
3,2000,7,0,2.3400534954250036e-5,0.0018073822603500971,0.05706126523537532
3,2000,8,0,3.1393366466025702e-6,5.929205173011907e-4,0.03594021250312125
3,2000,9,0,4.74069827642466e-7,1.3327850571819765e-4,0.013819019918918242
3,2000,10,0,6.871533777789631e-8,3.068838699001776e-5,0.002788787035348175
3,2000,11,0,1.577260673189962e-8,6.392800214488549e-6,7.570954455307309e-4
3,2000,12,0,2.8227437679678593e-9,1.3127840474418647e-6,2.5996423213656036e-4
3,2000,13,0,5.859061655292591e-10,3.3744204418375335e-7,8.230668299975249e-5
3,2000,14,0,9.889318852910305e-11,7.662025092939215e-8,3.596748811554138e-5
3,2000,15,0,1.0480567224584002e-11,2.1649582703941327e-8,2.1709613601242047e-5
3,2000,16,0,5.571361477594512e-13,6.939967964961928e-9,1.6192558332126145e-5
3,2000,17,0,2.499185085800604e-14,2.245206276743316e-9,1.2581149028632854e-5
3,2000,18,0,7.580187975257546e-16,7.843082043364025e-10,1.0098970172607495e-5
3,2000,19,0,2.22113765232369e-17,2.583810835781768e-10,8.291324922989643e-6
3,2000,20,0,8.359744658410793e-19,8.581324682083147e-11,5.734408394572739e-6
3,2000,21,0,1.6813361224969796e-20,2.997453825049712e-11,5.275402887676269e-6
3,2000,22,0,5.536843407301772e-22,9.324383767779004e-12,4.926705370564225e-6
