iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.4858141718040259,0.5962965165449878,0.7306055131746034
1,1998,4,0,0.4070698744724587,0.47846481761827364,0.5626464388141255
1,1998,5,0,0.37116747914712356,0.43091320147115586,0.49742546287017086
1,1998,6,0,0.33912316557158806,0.3939633705082939,0.4557745862503654
1,1998,7,0,0.29460579062803155,0.35110965190354493,0.4111147098559076
1,1998,8,0,0.22710086952004496,0.2737595470453058,0.3279968533363398
1,1998,9,0,0.18684416821528715,0.22110017456210967,0.26231951590018376
1,1998,10,0,0.1666668867287459,0.19447026372217777,0.2269057237330731
1,1998,11,0,0.14858869032525113,0.17498907784097573,0.20424319328036708
1,1998,12,0,0.12820335993799342,0.1470623463494899,0.1673722821853034
1,1998,13,0,0.09780437950492056,0.12309843353190729,0.15311577986387323
1,1998,14,0,0.07209717840161756,0.10393908996351184,0.14507049534685879
1,1998,15,0,0.05311873808999518,0.08774476001995302,0.13984318065069565
1,1998,16,0,0.03847729375877135,0.07413544223131693,0.1344509766910403
1,1998,17,0,0.028295222724723505,0.062377824894411266,0.1294012100803651
1,1998,18,0,0.020414488827963796,0.05239856356308717,0.12432838374966085
1,1998,19,0,0.014909863813548651,0.044083983659043556,0.12013590999764023
1,1998,20,0,0.01088446982738868,0.03709505214436927,0.11659224870432291
1,1998,21,0,0.007947171880581885,0.03132554848748355,0.11274743711255276
1,1998,22,0,0.005803266297072789,0.026259444042429587,0.10853726870960372
1,1998,23,0,0.004238065277927066,0.022060759607487254,0.10447185970417264
1,1998,24,0,0.0030876561410958406,0.018442526000923862,0.10055771800742827
1,1998,25,0,0.0022482533736704713,0.015463050483265267,0.09679024760697652
1,1998,26,0,0.0016447200089221643,0.012996844821131198,0.09316395158136996
1,1998,27,0,0.0012052854718286048,0.01092529867156477,0.08993049893170571
1,1998,28,0,8.800784499053039e-4,0.009195413954433254,0.0872725735159538
1,1998,29,0,6.426180943116775e-4,0.007729824598116064,0.0846929098890468
1,1998,30,0,4.692287468515984e-4,0.006510209150794777,0.08218960362237614
2,1999,3,0,0.5361830939741853,0.6430466873739937,0.75761727473819
2,1999,4,0,0.4131286507820416,0.502006900937585,0.6078222974279324
2,1999,5,0,0.3447303116153309,0.4030068846017864,0.4778974960254834
2,1999,6,0,0.3155768488082789,0.3627541877434431,0.4188352994021316
2,1999,7,0,0.28913255665773696,0.3311197079287522,0.3833499260558541
2,1999,8,0,0.25166776367468807,0.29593185053176174,0.3444286941780322
