iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.00214242223925006,0.07075322019397641,0.5772271044044914
1,1998,4,0,3.3473304539788693e-4,0.016978619889515406,0.34058417572800675
1,1998,5,0,4.6757398038914654e-5,0.004228134845068097,0.13490968960840985
1,1998,6,0,7.2354725146049565e-6,0.0010934618817648692,0.0699604013896812
1,1998,7,0,1.1014670289135166e-6,2.4739361006654496e-4,0.02580487751139597
1,1998,8,0,1.7658833017856622e-7,5.572824548427848e-5,0.010300848553155662
1,1998,9,0,2.4952493443094068e-8,1.4197490126794442e-5,0.003909700329423949
1,1998,10,0,5.751261438930721e-9,3.9709521806824396e-6,0.0014134014741995968
1,1998,11,0,9.710804209581543e-10,1.0434596106596083e-6,4.6025744036803267e-4
1,1998,12,0,2.707269347346425e-10,2.586738584309423e-7,1.555201322581475e-4
1,1998,13,0,3.00780383592814e-11,6.91482790488822e-8,7.740152423418228e-5
1,1998,14,0,1.968117062800969e-12,1.9280541468178243e-8,4.9159274970559026e-5
1,1998,15,0,8.967423498027176e-14,5.675769602831715e-9,3.593407499296049e-5
1,1998,16,0,3.714715278164566e-15,1.7531955935395423e-9,2.3489830435169054e-5
1,1998,17,0,1.3316215536153156e-16,6.168275197183445e-10,1.9429396028150964e-5
1,1998,18,0,5.320304246935373e-18,2.3072836835147067e-10,1.572051306837268e-5
1,1998,19,0,1.4584222904359098e-19,7.859553651863273e-11,1.1121436562643463e-5
1,1998,20,0,4.307464206129845e-21,2.9112829880101904e-11,8.999546501107641e-6
1,1998,21,0,1.2041849383921776e-22,1.0032243697965802e-11,6.556587002565228e-6
1,1998,22,0,3.1265201731692444e-24,3.5335256298527537e-12,5.6323604164203884e-6
1,1998,23,0,8.177565084740094e-26,1.13454642287605e-12,4.808525795257347e-6
1,1998,24,0,2.1272211933309612e-27,4.0608284938423537e-13,3.919615898815092e-6
1,1998,25,0,5.519792192142846e-29,1.2197017167691592e-13,3.05762169490135e-6
1,1998,26,0,1.1632588805430616e-30,4.07744772935394e-14,2.6999222218057767e-6
1,1998,27,0,3.0160388889178474e-32,1.2558810152241115e-14,2.4392261970935996e-6
