iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.27771819514908597,0.45391266523427243,0.5888596001447758
1,1998,4,0,0.20900539626967443,0.3731617581799066,0.5248103986418187
1,1998,5,0,0.15610336794278865,0.3072800626807434,0.4624348858088086
1,1998,6,0,0.12058744509957178,0.2500741593145843,0.40084541418875713
1,1998,7,0,0.09014461628418774,0.20336063314742403,0.3439569107721367
1,1998,8,0,0.06932455209413861,0.16578921962566023,0.30322101093755466
1,1998,9,0,0.05487113728857992,0.13626373286942037,0.26132557322781597
1,1998,10,0,0.04454691679416418,0.11166241114758224,0.2221295525476151
1,1998,11,0,0.033857892213464844,0.0917219680856518,0.1881154349460377
1,1998,12,0,0.026598458939997016,0.07535785944782325,0.16055548589734767
1,1998,13,0,0.019230222514197034,0.06256030761707662,0.14321328854982004
1,1998,14,0,0.013159215341862446,0.05262899938186072,0.13187861668686637
1,1998,15,0,0.008647451238204316,0.04416496792943245,0.12135872199822531
1,1998,16,0,0.005511937809077652,0.037202151811846176,0.11469725084082809
1,1998,17,0,0.003402767879697558,0.0316098797903962,0.10840476810144238
1,1998,18,0,0.0021567376757284282,0.026440937403981228,0.10090057221320725
1,1998,19,0,0.0013561008988092708,0.022295352285100205,0.09628512507655616
1,1998,20,0,8.391234394658646e-4,0.01892190465820664,0.09030537008087863
1,1998,21,0,5.237996828937506e-4,0.016112063212545533,0.08652334893362004
1,1998,22,0,3.096995400672393e-4,0.013723225166087517,0.08264950402195106
1,1998,23,0,1.865053642185062e-4,0.011640143737339511,0.08029507810558593
1,1998,24,0,1.1372728879705213e-4,0.009870281707941481,0.07722557644433385
1,1998,25,0,6.638155596893418e-5,0.00841093261778431,0.07434043984255646
1,1998,26,0,4.088511964786297e-5,0.00718741221897201,0.07168993789199964
1,1998,27,0,2.551993227957695e-5,0.006082761531338707,0.06943360556168433
1,1998,28,0,1.602876392123076e-5,0.005266598051299557,0.06718209164747148
1,1998,29,0,9.748444002991553e-6,0.0044685591367224775,0.06525939267179016
1,1998,30,0,5.843396342671404e-6,0.0038164650549516307,0.06239537546094837
2,1999,3,0,0.24834167840078733,0.3646794115632227,0.4253957878785182
2,1999,4,0,0.1827509464931079,0.2988275675782801,0.3875797374707858
2,1999,5,0,0.13732967929212114,0.24569151297932218,0.3463102011252256
2,1999,6,0,0.10355232186252487,0.20280846101957817,0.30567999819982034
2,1999,7,0,0.0786775555559339,0.16413073345587337,0.26549364386015695
2,1999,8,0,0.05893349889918829,0.13411192919362275,0.2265461482176124
2,1999,9,0,0.04531799709625434,0.10934889177211797,0.2005714580025007
2,1999,10,0,0.036048198445388396,0.08966290972818484,0.17121573879974622
2,1999,11,0,0.02904340565382052,0.07391504062852791,0.14604717840308054
2,1999,12,0,0.022313561591306725,0.060480655519878954,0.12373893691855173
2,1999,13,0,0.017525635547842425,0.04962877169107882,0.10541858494290472
2,1999,14,0,0.012723587238171647,0.04126821827389149,0.09496449050548496
2,1999,15,0,0.008724242928892569,0.034755566385508356,0.08703961279178389
2,1999,16,0,0.005676189937735478,0.02922066414512831,0.0809911086810404
2,1999,17,0,0.0036291014984252243,0.02465955747955776,0.07565504041694161
2,1999,18,0,0.0022081678172398674,0.020831927176041175,0.07087627021659956
2,1999,19,0,0.0014068055721900186,0.01739062366680991,0.06684902686283023
2,1999,20,0,8.854831671342864e-4,0.014689697561872408,0.06365050859929201
2,1999,21,0,5.491297633272289e-4,0.012479605729083153,0.06086955477986401
2,1999,22,0,3.4526535311695455e-4,0.010606583245740774,0.05772559289119688
2,1999,23,0,2.0713544428696377e-4,0.008976544377224987,0.05456406059515953
2,1999,24,0,1.2260577961944362e-4,0.00765545120529954,0.052228891138171314
2,1999,25,0,7.532382600110864e-5,0.00651025511182903,0.0507921895017661
2,1999,26,0,4.4096099890840356e-5,0.005558285918518976,0.049372130586710354
2,1999,27,0,2.722144065710126e-5,0.004736656361541352,0.047000837498496865
2,1999,28,0,1.667562140400844e-5,0.00400573310579487,0.0453013052605643
2,1999,29,0,1.0382848077291475e-5,0.003443692899708137,0.04419186359629282
2,1999,30,0,6.223340640864797e-6,0.002970503818435447,0.04307698376859431
3,2000,3,0,0.29069204180628777,0.31043290658926626,0.3312418951912278
3,2000,4,0,0.17835580328536818,0.2635927371300792,0.30826416390004685
3,2000,5,0,0.13226298790656488,0.21558238315690148,0.27993460823913274
3,2000,6,0,0.09951850187135115,0.17767239300183868,0.2510634083463537
3,2000,7,0,0.07499334215691421,0.14677039807368467,0.22070977146619025
3,2000,8,0,0.05649627624451908,0.11859177463791887,0.19224519015268737
3,2000,9,0,0.042752952580688966,0.09694518382742814,0.16459467596824526
3,2000,10,0,0.032758662850416335,0.07921440590575786,0.14256182030469097
3,2000,11,0,0.026285587630963714,0.06489470885688867,0.12371133417766006
3,2000,12,0,0.021055137994810187,0.05357822629193534,0.10516530997489244
3,2000,13,0,0.016105838725900462,0.04346731155590276,0.08968817600798355
3,2000,14,0,0.012713679403079386,0.03566008449449967,0.07648238368585547
3,2000,15,0,0.009118805753635294,0.029744711003554962,0.06808606209210337
3,2000,16,0,0.006269850629321002,0.025024379696993435,0.0623717634533613
3,2000,17,0,0.004084752030787509,0.02099630740404491,0.058664999235050176
3,2000,18,0,0.002632784702249967,0.017787901804513763,0.05418131512508048
3,2000,19,0,0.0016399115714277538,0.015021593550214474,0.05085643443365848
3,2000,20,0,0.0010234266194100747,0.012572075000944366,0.04825101954738964
3,2000,21,0,6.499283489427032e-4,0.010612724720873514,0.04611033886188447
3,2000,22,0,4.058730621267809e-4,0.009016168332951296,0.04393124774289258
3,2000,23,0,2.4730206116708515e-4,0.007647621290753332,0.04155281445510024
