iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.0016634316249445305,0.04711556994851087,0.38271163020650006
1,1998,4,0,1.854123865968958e-4,0.01161778758165186,0.21034041334677722
1,1998,5,0,3.0197540485053373e-5,0.002987580456200385,0.0847563694473481
1,1998,6,0,4.43780082157984e-6,7.632629018494389e-4,0.034843399072810456
1,1998,7,0,7.855448244313504e-7,2.1621968088119856e-4,0.014229675496329645
1,1998,8,0,1.3153930859372447e-7,5.2625857231586834e-5,0.005734963027577868
1,1998,9,0,2.0956556142833625e-8,1.2728917306008077e-5,0.001928826550613787
1,1998,10,0,4.3599576830242e-9,3.5543320912292186e-6,7.625539637768324e-4
1,1998,11,0,5.18715241726836e-10,8.94307220499183e-7,2.1607071451237362e-4
1,1998,12,0,1.314786668189987e-10,2.1939224092542715e-7,7.310228732491712e-5
1,1998,13,0,1.6722876524601483e-11,5.2084950785918445e-8,4.167733346511092e-5
1,1998,14,0,1.1379056941637017e-12,1.3917571049268531e-8,2.38603111429912e-5
1,1998,15,0,4.307127918860874e-14,4.329161615279687e-9,1.891960399258836e-5
1,1998,16,0,1.290462954034516e-15,1.2647994312095895e-9,1.5406686789249177e-5
1,1998,17,0,4.5173795803461695e-17,3.831806464879251e-10,1.289068055727556e-5
1,1998,18,0,1.6755133051824708e-18,1.2640131308850856e-10,1.0068577650852135e-5
1,1998,19,0,4.750220536754658e-20,4.2564205160673046e-11,8.67430593949003e-6
1,1998,20,0,1.1250279186148594e-21,1.2425169532619658e-11,7.974255084701622e-6
1,1998,21,0,3.546053700194438e-23,4.0226640450447e-12,7.321893550542885e-6
1,1998,22,0,8.621692201138507e-25,1.2822763805751462e-12,6.326687341385268e-6
1,1998,23,0,2.9683899421577394e-26,4.071676786661888e-13,5.8629930316187595e-6
1,1998,24,0,7.608439700676162e-28,1.2650120169460702e-13,5.308347899421658e-6
1,1998,25,0,2.2488352442973696e-29,4.201476572016799e-14,4.8334986784994945e-6
1,1998,26,0,8.249346056926588e-31,1.2564299271585831e-14,4.3876417892044145e-6
1,1998,27,0,2.2671869723752858e-32,3.766145398377912e-15,4.259072430421581e-6
1,1998,28,0,6.304315582023286e-34,1.1792774134537344e-15,3.791656452805519e-6
1,1998,29,0,1.9724748975712833e-35,3.410411844850055e-16,3.051560074610264e-6
1,1998,30,0,5.414465436747057e-37,1.0415583017590552e-16,2.5037619246827035e-6
2,1999,3,0,0.008838730544981148,0.11844608903797366,0.358836580788272
2,1999,4,0,0.0010145601807589534,0.02877472972304218,0.23251174869609445
2,1999,5,0,1.1100774793572216e-4,0.007004153903768917,0.12673353199888976
2,1999,6,0,1.811932117559895e-5,0.0017923203612206376,0.05090381772965484
2,1999,7,0,2.6857035963780896e-6,4.599108839579498e-4,0.0209896167703423
2,1999,8,0,4.769789825193504e-7,1.314144357268988e-4,0.008550873250120316
2,1999,9,0,7.947471487963045e-8,3.19376408930981e-5,0.003490471689735378
2,1999,10,0,1.2652129574152624e-8,7.645828158673664e-6,0.001162616366080806
2,1999,11,0,2.6148949708921394e-9,2.1338022091857773e-6,4.633907130475843e-4
2,1999,12,0,3.1382792199010833e-10,5.39393633957637e-7,1.2897702968739323e-4
2,1999,13,0,7.885393867656611e-11,1.3211200942993412e-7,4.3949711959675916e-5
2,1999,14,0,1.0010712590671759e-11,3.1368495028092406e-8,2.5347916009077427e-5
2,1999,15,0,6.960267218639221e-13,8.381918586390198e-9,1.4143977597909173e-5
2,1999,16,0,2.574871453415591e-14,2.6566310622081255e-9,1.1295627318501394e-5
2,1999,17,0,7.77194412591763e-16,7.692865391857834e-10,9.252998047012968e-6
2,1999,18,0,2.7491071827461392e-17,2.3029557736358995e-10,7.785917949619988e-6
2,1999,19,0,1.018698621253513e-18,7.648139951391055e-11,6.051003627721345e-6
2,1999,20,0,2.8759824492349333e-20,2.5875626536376564e-11,5.27125312194339e-6
2,1999,21,0,6.780709271376204e-22,7.470759057199707e-12,4.845997169018023e-6
2,1999,22,0,2.0905422031313385e-23,2.424484173471304e-12,4.447914956680192e-6
2,1999,23,0,5.204458062946858e-25,7.692685178824563e-13,3.7604518450882883e-6
2,1999,24,0,1.7950361080627605e-26,2.4637661158615073e-13,3.5756495228364107e-6
2,1999,25,0,4.586120326940062e-28,7.627506096980859e-14,3.1933102038287674e-6
2,1999,26,0,1.3710062437280498e-29,2.558502908039732e-14,2.870141851031513e-6
2,1999,27,0,5.027437722089077e-31,7.650683679607386e-15,2.663442996433539e-6
2,1999,28,0,1.3554329205084664e-32,2.2533470494790942e-15,2.585392550610183e-6
2,1999,29,0,3.7453939813825774e-34,7.079145979603199e-16,2.251978916329802e-6
2,1999,30,0,1.1886643341006641e-35,2.0640322033927268e-16,1.8014661585073872e-6
