iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.5602760832362041,0.5785362099467612,0.5966372893706202
1,1998,4,0,0.47935891178479495,0.4950857835207458,0.5117018436156238
1,1998,5,0,0.4260166465552774,0.43945831397208623,0.4536448796672861
1,1998,6,0,0.3585939510006081,0.37049787916694965,0.3825147836615497
1,1998,7,0,0.31128508887164985,0.3218748097484399,0.3323312429973288
1,1998,8,0,0.2684069843543827,0.2780563641538817,0.2886444702790383
1,1998,9,0,0.23223816725361107,0.24179485161529723,0.2508040315592979
1,1998,10,0,0.19933116514512936,0.20818870199347023,0.21724007001516066
1,1998,11,0,0.16923401863400098,0.17542446438131643,0.18222646096558762
1,1998,12,0,0.1469734965458755,0.15089544789299852,0.15533259968331475
1,1998,13,0,0.12599556283835886,0.1297799882730059,0.1336947621821879
1,1998,14,0,0.10697054335251636,0.11161811096311257,0.11632538732182202
1,1998,15,0,0.09050071962662895,0.09603702576771739,0.10154229427526364
1,1998,16,0,0.07660993397336839,0.08261061700993627,0.08868297083170927
1,1998,17,0,0.06454277197755778,0.07107938319602815,0.07764562352818435
1,1998,18,0,0.05452198575749977,0.061131094390370816,0.068003901874067
1,1998,19,0,0.04596438614728847,0.05258667126204572,0.05953361821169532
1,1998,20,0,0.03881580998152236,0.04529064363227143,0.05205182931117901
1,1998,21,0,0.03275282458372548,0.03896871536444764,0.04561861864981841
1,1998,22,0,0.027631076869149854,0.033526531415057265,0.03999271883234329
1,1998,23,0,0.023302932304901755,0.028857183103747578,0.03501518952988986
1,1998,24,0,0.01964550459409378,0.02481247667342163,0.03065047848239734
1,1998,25,0,0.0165618838207817,0.02135606481830117,0.026847934007379816
1,1998,26,0,0.013961854707699032,0.018371372122122462,0.023504909756628778
1,1998,27,0,0.011771130320006136,0.015813092784143223,0.020587715256942512
1,1998,28,0,0.009932973788142637,0.013609744871285252,0.018027849059069106
1,1998,29,0,0.008367706564281959,0.011711761907849182,0.015786165328093564
1,1998,30,0,0.007053023526678406,0.010071123101245694,0.013832440268318452
2,1999,3,0,0.5289025161052456,0.5455943830821919,0.5631632611299479
2,1999,4,0,0.4847401159170725,0.500203711746887,0.5158504117805159
2,1999,5,0,0.4151895938261867,0.42812191160025337,0.4424155855693276
2,1999,6,0,0.36840509362033314,0.38006428839981277,0.39086983368671885
2,1999,7,0,0.3108357040471514,0.32032884477750445,0.3305449448029787
2,1999,8,0,0.2684966873022428,0.2783273049023971,0.2881014925780166
2,1999,9,0,0.23250544811032242,0.24040589458256972,0.24937787264754366
2,1999,10,0,0.20088701648843788,0.20893847971142793,0.21724028007695947
2,1999,11,0,0.17255582934201769,0.18004427535043316,0.1877836779827879
2,1999,12,0,0.1465926147893063,0.15163791800809262,0.15742299320955525
2,1999,13,0,0.12708730227955034,0.13042740168916403,0.1340986033816007
2,1999,14,0,0.10890238148518919,0.11217573374683742,0.11551915255909276
2,1999,15,0,0.09236659988909353,0.09651980883494246,0.10063020141157186
2,1999,16,0,0.07816219832008683,0.0830591639101021,0.08780679328888776
2,1999,17,0,0.0659881019799938,0.07142987416522435,0.07683137936155843
2,1999,18,0,0.05570728201830464,0.06147864860406978,0.06713971077302104
2,1999,19,0,0.04709178360328543,0.052897754737075524,0.05885195037119633
2,1999,20,0,0.039702640302028754,0.04552653941693448,0.051492771704641185
2,1999,21,0,0.03348985525865255,0.03916498056426382,0.04505083285934633
2,1999,22,0,0.02821015175394004,0.03365671411635666,0.039455957716698124
2,1999,23,0,0.02383191566613001,0.028951464557097843,0.034515359021167785
2,1999,24,0,0.02009944378599699,0.024904592252399316,0.030245022754456265
2,1999,25,0,0.016934311180826576,0.021426647125272015,0.026505581272272993
2,1999,26,0,0.014283012470008101,0.018441172085390124,0.023208898910380957
2,1999,27,0,0.01204872982259825,0.01587080573163871,0.02031858692845944
2,1999,28,0,0.010176432985149234,0.013656942103555256,0.017788429073724018
2,1999,29,0,0.00858841839534526,0.011754392605030323,0.015577074671299958
2,1999,30,0,0.007248485791731865,0.010114541222956998,0.013650490337338249
3,2000,3,0,0.6764160504937664,0.6951059523531051,0.7142314369697371
3,2000,4,0,0.5023077378744424,0.5188661777871305,0.536148960032626
3,2000,5,0,0.4610972216263284,0.47504073666023405,0.4900826749458189
3,2000,6,0,0.39449127346489765,0.40675287458234255,0.41888462333677545
3,2000,7,0,0.3492405669987029,0.36124459176793144,0.371744409742876
3,2000,8,0,0.29486899802413763,0.30457029733769925,0.313835070826713
3,2000,9,0,0.2559058042384812,0.2643945885534901,0.27360103126089624
3,2000,10,0,0.21994566839395419,0.22842514704262196,0.23679649624176125
3,2000,11,0,0.1910247710896452,0.19860815316812594,0.20617389389753515
3,2000,12,0,0.1637174616834453,0.17104349617944625,0.17853647434807202
3,2000,13,0,0.13918746873336715,0.14413757280046946,0.14974032000360324
3,2000,14,0,0.12063236858233614,0.12398427165083238,0.12744441000260429
3,2000,15,0,0.10330964101760276,0.10669771121749565,0.10990354871177764
3,2000,16,0,0.08768801179551183,0.09180686198066258,0.09566268166920314
3,2000,17,0,0.07435528629948944,0.07895462992239638,0.0834482374932904
3,2000,18,0,0.0628262041150883,0.06795935630785863,0.07292624900185368
3,2000,19,0,0.05304895589437756,0.05844114260494289,0.06381557347581268
3,2000,20,0,0.044759238088407545,0.050284499685074646,0.05592462503241404
3,2000,21,0,0.037821539094704947,0.04327389577764518,0.04893022700712446
3,2000,22,0,0.03189809028062076,0.03721011435711782,0.04279277233429068
3,2000,23,0,0.026858054666460553,0.03200537113768977,0.03746356648298132
