iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.001898776737686831,0.05879089141807625,0.508322002772175
1,1998,4,0,3.0134641956719216e-4,0.014055490418617962,0.25028520986891173
1,1998,5,0,4.172832504844189e-5,0.0036402841107728567,0.10647589150977528
1,1998,6,0,6.6727468611162884e-6,9.479663747175963e-4,0.05095366543970855
1,1998,7,0,1.2419949622247084e-6,2.4967769106650124e-4,0.018611550433715433
1,1998,8,0,2.028529343812921e-7,6.136331808100792e-5,0.008007407450524586
1,1998,9,0,3.975471011609687e-8,1.5109147078905298e-5,0.0031059513640127774
1,1998,10,0,5.549080266541214e-9,3.948844280432536e-6,0.0011183640396654757
1,1998,11,0,1.0086421067072416e-9,9.385839288400194e-7,3.585820610727353e-4
1,1998,12,0,2.117069525460573e-10,2.3594963179873974e-7,1.2618177931613092e-4
1,1998,13,0,2.4120750346664444e-11,6.392967415758346e-8,6.658378564682873e-5
1,1998,14,0,1.6631550785664396e-12,1.758354920268013e-8,4.46840799290058e-5
1,1998,15,0,9.214827815153985e-14,5.620660016848979e-9,2.8911709958218684e-5
1,1998,16,0,3.588535662964819e-15,1.8432991049745465e-9,1.9682340272158353e-5
1,1998,17,0,1.5180564760402368e-16,6.14423474982485e-10,1.3942439080063449e-5
1,1998,18,0,4.7981158446496356e-18,1.9609170474284753e-10,1.0242610628974306e-5
1,1998,19,0,1.5669924650146364e-19,7.022369210281682e-11,8.117672621683593e-6
1,1998,20,0,4.786864274103895e-21,2.2954289239683085e-11,6.933633843075982e-6
1,1998,21,0,1.3228491652625184e-22,7.219995996873158e-12,6.190389630000623e-6
1,1998,22,0,3.226632936776022e-24,2.0870125808710714e-12,5.400825993741165e-6
1,1998,23,0,9.902998965951103e-26,7.086237745009423e-13,4.697896977093285e-6
1,1998,24,0,2.46556029218146e-27,2.3205482305427134e-13,4.01121180333613e-6
1,1998,25,0,6.252820988342082e-29,7.678875700370114e-14,3.770989008309789e-6
1,1998,26,0,1.5503376718392417e-30,2.5430327843982943e-14,3.280354168753692e-6
1,1998,27,0,3.84402337469185e-32,8.093365239075496e-15,3.060789881931911e-6
1,1998,28,0,9.569288104655176e-34,2.532554946469684e-15,2.7937576777734257e-6
1,1998,29,0,2.698541253449291e-35,7.747148354260985e-16,2.4119152647972414e-6
1,1998,30,0,8.812027936258876e-37,2.2515374497905055e-16,2.344586347187834e-6
2,1999,3,0,0.015161634778965318,0.20290864742985937,0.5990179385516622
2,1999,4,0,0.0015258578692092801,0.04701143599450829,0.40249907642462457
2,1999,5,0,2.4036142596679273e-4,0.011118394706429634,0.20233976270484952
2,1999,6,0,3.384665204433368e-5,0.002903406322089777,0.08431774438525007
2,1999,7,0,5.312006233759959e-6,7.535487637163157e-4,0.04052653965848805
2,1999,8,0,9.88318291711779e-7,2.0124210498238885e-4,0.01511956659044879
2,1999,9,0,1.6140017131898802e-7,4.914782565379007e-5,0.006260061938552513
2,1999,10,0,3.1435773350580374e-8,1.1930958928657267e-5,0.0024813400614268535
2,1999,11,0,4.4698295401465765e-9,3.159178731304605e-6,8.909476761844866e-4
2,1999,12,0,7.913263740640871e-10,7.468171773472711e-7,2.904575671713919e-4
2,1999,13,0,1.658392083091059e-10,1.8811269657517555e-7,1.0330005309903196e-4
2,1999,14,0,1.8861769315079083e-11,5.109437643763607e-8,5.3033261821234925e-5
2,1999,15,0,1.316883924387127e-12,1.4097261982039627e-8,3.4819064732325294e-5
2,1999,16,0,7.423397455540484e-14,4.490296398080785e-9,2.288662554026633e-5
2,1999,17,0,2.935068191475752e-15,1.453105736324951e-9,1.5699907649214543e-5
2,1999,18,0,1.2067928141013716e-16,4.892850387197649e-10,1.1326169208038688e-5
2,1999,19,0,3.8162494549821266e-18,1.5581123153722883e-10,8.022215741428723e-6
2,1999,20,0,1.241337510820988e-19,5.654280772595882e-11,6.4543987317144275e-6
2,1999,21,0,3.807084457277003e-21,1.8369656431466395e-11,5.59626456100081e-6
2,1999,22,0,1.053524287447318e-22,5.7433571403542035e-12,4.901276973996993e-6
2,1999,23,0,2.580784307490269e-24,1.6498418825064787e-12,4.2966395597657454e-6
2,1999,24,0,7.927239667863064e-26,5.676116588153744e-13,3.6811642436684047e-6
2,1999,25,0,1.9622818761005254e-27,1.8643248978923458e-13,3.1447467985271144e-6
2,1999,26,0,4.975736876886986e-29,6.152339565165409e-14,3.0161286362298275e-6
2,1999,27,0,1.2336810850497491e-30,2.0471289691089048e-14,2.572881525234666e-6
2,1999,28,0,3.058848522010383e-32,6.529482571330479e-15,2.401143455967647e-6
2,1999,29,0,7.616435287093947e-34,2.041101540834123e-15,2.2362876807495596e-6
2,1999,30,0,2.167321437953986e-35,6.180961491214261e-16,1.9383265929991436e-6
3,2000,3,0,0.5371074418687068,0.5612677767245877,0.5859401011787934
3,2000,4,0,0.013421383538242888,0.17960484212610728,0.5324914728482218
3,2000,5,0,0.001371663843996652,0.041606116490651206,0.3575208171343642
3,2000,6,0,2.1198365906499125e-4,0.009848992900848385,0.17539854452813128
3,2000,7,0,2.9937744990296722e-5,0.0025710636449150204,0.07469542166558266
3,2000,8,0,4.7428967421414005e-6,6.721974071020452e-4,0.03560982917115227
3,2000,9,0,8.910395231340691e-7,1.7737294227524884e-4,0.013270961266192026
3,2000,10,0,1.438307896338233e-7,4.365059116174307e-5,0.005523370860639119
3,2000,11,0,2.810110593142018e-8,1.0486095318416779e-5,0.002218556470366105
3,2000,12,0,3.926873694552354e-9,2.7755520691989797e-6,7.933272661452992e-4
3,2000,13,0,6.996608123757382e-10,6.634900305715414e-7,2.5491937841139287e-4
3,2000,14,0,1.4791451607657625e-10,1.6459229612864962e-7,9.164646860338062e-5
3,2000,15,0,1.6527734797007132e-11,4.4954217773871416e-8,4.5764452053753755e-5
3,2000,16,0,1.1696202507385067e-12,1.2514840959404075e-8,3.105600164515532e-5
3,2000,17,0,6.591390122482844e-14,3.9704779848287e-9,2.021583639965065e-5
3,2000,18,0,2.5732394166678153e-15,1.279381901345752e-9,1.3870179689494549e-5
3,2000,19,0,1.0652150004284691e-16,4.3261910130566895e-10,9.84112083985065e-6
3,2000,20,0,3.3672246004579647e-18,1.3696457550290805e-10,7.127836310146681e-6
3,2000,21,0,1.094887353532673e-19,5.015706932531923e-11,5.704217281992862e-6
3,2000,22,0,3.359503963482879e-21,1.6250366767667433e-11,4.963576892929607e-6
3,2000,23,0,9.456359761107088e-23,4.992525961945475e-12,4.358784860710764e-6
3,2000,24,0,2.2824944136572533e-24,1.4484251827250023e-12,3.817550937303279e-6
3,2000,25,0,6.915307469294422e-26,5.017493191945257e-13,3.26698119311995e-6
3,2000,26,0,1.7029263313523557e-27,1.6447619591587216e-13,2.7661199625003033e-6
3,2000,27,0,4.3701556009729747e-29,5.496268261061309e-14,2.679914678287225e-6
3,2000,28,0,1.0835332372302894e-30,1.8280691293006834e-14,2.28292523020078e-6
3,2000,29,0,2.686563715353711e-32,5.691594503527129e-15,2.1297048075676517e-6
3,2000,30,0,6.691396237396137e-34,1.816590364129812e-15,1.9830670932045767e-6
4,2001,3,0,0.47266380487235715,0.4957845381047177,0.5190685994869969
4,2001,4,0,0.373648580866619,0.39425924192909845,0.41573056872507735
4,2001,5,0,0.009297824299436224,0.12527064935870358,0.37138030551026546
4,2001,6,0,9.59877913482493e-4,0.029154366685548112,0.2536526955432472
4,2001,7,0,1.4939701217735874e-4,0.006888243779802773,0.1242181892396009
4,2001,8,0,2.0982307666470558e-5,0.0017860995392809686,0.05232478527839147
4,2001,9,0,3.3364334101321276e-6,4.714279921138841e-4,0.025433944641114613
4,2001,10,0,6.158029368073221e-7,1.2545134071191463e-4,0.00931295844667897
4,2001,11,0,9.980864988111496e-8,3.067538304831807e-5,0.003952791312213864
4,2001,12,0,1.9926438108158203e-8,7.423691966905213e-6,0.0015586093291985858
4,2001,13,0,2.7575968206992476e-9,1.9625498421523037e-6,5.552007261987267e-4
4,2001,14,0,4.864170375478527e-10,4.6650376601902373e-7,1.7909082968613514e-4
4,2001,15,0,1.057186483652815e-10,1.1571359714341776e-7,6.289749117067707e-5
4,2001,16,0,1.2011611464821279e-11,3.1504162963173665e-8,3.152021351840431e-5
4,2001,17,0,8.390413044832755e-13,8.775325567651748e-9,2.1827562208719066e-5
4,2001,18,0,4.5917156070284675e-14,2.806788628709126e-9,1.4082488133908997e-5
4,2001,19,0,1.7560127368858412e-15,8.92716258465206e-10,9.76798370458498e-6
4,2001,20,0,7.57126220305002e-17,3.01314958608473e-10,6.905146169776818e-6
4,2001,21,0,2.3947397821657594e-18,9.63553561491488e-11,5.140887831143702e-6
4,2001,22,0,7.750070976887554e-20,3.4422827192319724e-11,4.13197257175149e-6
4,2001,23,0,2.390967419012824e-21,1.1442024086916578e-11,3.4581852060954836e-6
4,2001,24,0,6.5170414562892e-23,3.487480857265027e-12,3.0492243877922185e-6
4,2001,25,0,1.62112281113316e-24,1.0017500504403996e-12,2.6087892537531213e-6
4,2001,26,0,4.743642899341552e-26,3.472602478450238e-13,2.293229593443327e-6
4,2001,27,0,1.2140992329738783e-27,1.1762392427324628e-13,1.9559804260246473e-6
4,2001,28,0,3.077608723986939e-29,3.813679137625667e-14,1.8746911333810373e-6
4,2001,29,0,7.630560122763504e-31,1.2722211740908325e-14,1.6007809344087735e-6
4,2001,30,0,1.8919474738638615e-32,3.969576584927975e-15,1.4926392597055614e-6
5,2002,3,0,0.47714966082559396,0.49919225489390584,0.5220389061898913
5,2002,4,0,0.37754569178625763,0.39887974970197226,0.41961470549979357
5,2002,5,0,0.29825649673234483,0.3169779353328498,0.33554150397607957
