iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.548392612851898,0.5680783325337322,0.588379836738957
1,1998,4,0,0.48185521247451724,0.49885352127952176,0.5161385520318629
1,1998,5,0,0.4087503057652763,0.423304126686774,0.4381370898933336
1,1998,6,0,0.35662803838611,0.36869626920981186,0.38145274588623934
1,1998,7,0,0.3013246562099738,0.3129714880377188,0.32532034945714244
1,1998,8,0,0.2584935288824939,0.269162005643238,0.27958173625933097
1,1998,9,0,0.22291794587572372,0.2338335694358914,0.2444397876921305
1,1998,10,0,0.18272176791071024,0.1925925832751179,0.2027984287062923
1,1998,11,0,0.15601798776547138,0.16402240689460496,0.17222691408836627
1,1998,12,0,0.1350021782886575,0.13965752011024357,0.14461906589468304
1,1998,13,0,0.11441683503352346,0.11892470321660974,0.12370632629284072
1,1998,14,0,0.09548478469871038,0.10126853607917978,0.10718519258601879
1,1998,15,0,0.07954332239947959,0.0862427062216459,0.09346471686907942
1,1998,16,0,0.06604116258081155,0.07336040963548546,0.08168933558157913
1,1998,17,0,0.05496861236245984,0.0624573336986215,0.07146970048445433
1,1998,18,0,0.04553066160468506,0.05322106206742838,0.0625471675620798
1,1998,19,0,0.03769003883619586,0.04537155156342913,0.0547471833999064
1,1998,20,0,0.0312861678409071,0.03864242779395033,0.04800436054766094
1,1998,21,0,0.025859626739073164,0.03294193227434623,0.041948320211926675
1,1998,22,0,0.021384472223045337,0.02805783705514841,0.0366549718207765
1,1998,23,0,0.017688191425171897,0.023868218375176494,0.03202841688842466
1,1998,24,0,0.014652869740833525,0.020344294790589898,0.02798623388738742
1,1998,25,0,0.012141858472253166,0.017321540207780768,0.02445225257222905
1,1998,26,0,0.010061150557597237,0.014749023151627821,0.02140607976969201
1,1998,27,0,0.00833702020217115,0.012557572980096939,0.01872182001672706
1,1998,28,0,0.006908449002400872,0.010689248254382916,0.01637235958137715
1,1998,29,0,0.005724667382750648,0.009103836803826967,0.014325660818599489
1,1998,30,0,0.004743729979488098,0.0077480016577121304,0.012551943240124066
2,1999,3,0,0.515502421355476,0.532663709076091,0.5513977426368903
2,1999,4,0,0.46481768157561015,0.4811213036527139,0.4976369947258965
2,1999,5,0,0.40904819001045317,0.42262996451822443,0.4365605360598157
2,1999,6,0,0.34620175568462175,0.3585517495254098,0.3702816923927602
2,1999,7,0,0.301418584295973,0.31225284885532345,0.32311595506829294
2,1999,8,0,0.2555684856760563,0.2650664705611406,0.2753211830529274
2,1999,9,0,0.21835403225740083,0.22782494392026165,0.23726356038264493
2,1999,10,0,0.18894277076309274,0.19795326831289772,0.20753832250236218
2,1999,11,0,0.15493536171304897,0.16306038772233056,0.17218039384776723
2,1999,12,0,0.13229539229610984,0.13893883350411362,0.14552291782687637
2,1999,13,0,0.1142350029675516,0.11827222995538242,0.12261769599948133
2,1999,14,0,0.09676486226527468,0.1007119277954375,0.10497501859507738
2,1999,15,0,0.08080686469487762,0.08585058958976668,0.09091612325833448
2,1999,16,0,0.06722624490381718,0.07311031328744501,0.07917776755060794
2,1999,17,0,0.05579452523789599,0.06226747114169815,0.06916044820784564
2,1999,18,0,0.046301621896447515,0.05301369441726441,0.060342553234522776
2,1999,19,0,0.0384247136406146,0.045153137403814034,0.05272051972490689
2,1999,20,0,0.03185719765850769,0.03843011776238865,0.04616677275545064
2,1999,21,0,0.02643385434809585,0.03273697368126996,0.04035057199299877
2,1999,22,0,0.021912601742357107,0.02790024867100484,0.0352648810444519
2,1999,23,0,0.018134890303971897,0.02376422497398848,0.030820993553537072
2,1999,24,0,0.015008311443186132,0.020225451389620636,0.026937101526948413
2,1999,25,0,0.01241486564679834,0.01721859898138849,0.02354679618368522
2,1999,26,0,0.010280823736099383,0.014649721324040188,0.02062804535779918
