iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.2586599057410224,0.4112913336316186,0.5286381424205367
1,1998,4,0,0.19237470868660683,0.33789697599167745,0.47673187811231865
1,1998,5,0,0.14910114380330688,0.27515477745688044,0.4227412945267009
1,1998,6,0,0.11195727804203165,0.22297677450356765,0.36669780525789797
1,1998,7,0,0.08548655806268132,0.1826013480922261,0.31677460086998926
1,1998,8,0,0.0685202359426852,0.1509492974561209,0.26787184754696103
1,1998,9,0,0.051090748548365844,0.12328877005936686,0.2345867329935687
1,1998,10,0,0.04133927109463102,0.09864891857549273,0.2027866959993215
1,1998,11,0,0.03170352947790728,0.08151288626917591,0.17551315564561437
1,1998,12,0,0.024816782142796742,0.0667420462534605,0.14622660610220256
1,1998,13,0,0.017345054714774866,0.05495133060144977,0.13442521427906315
1,1998,14,0,0.011607281488393299,0.04584227213182049,0.12180906951692033
1,1998,15,0,0.0074510919546335284,0.03834274653712892,0.1127571794492953
1,1998,16,0,0.004387649787400694,0.0319862276903051,0.10615314052911042
1,1998,17,0,0.0028303922046651205,0.026999387531297304,0.10100506160884014
1,1998,18,0,0.001700458472103941,0.022959289445536046,0.09657413503237856
1,1998,19,0,9.905993959117806e-4,0.019230971884782552,0.09220035412954643
1,1998,20,0,5.859485444900397e-4,0.016220164242295713,0.08659798921718362
1,1998,21,0,3.460183095892053e-4,0.013584928536281154,0.0825460055473583
1,1998,22,0,2.04774531982175e-4,0.011613859927972054,0.07961248286961269
1,1998,23,0,1.2498044617185143e-4,0.0097620805763504,0.07683489264656836
1,1998,24,0,7.152052699875958e-5,0.008280291624746725,0.07247363972309578
1,1998,25,0,4.345815857662493e-5,0.007117051746547784,0.0701854844200798
1,1998,26,0,2.6557300151154473e-5,0.006072638795576589,0.067860841654553
1,1998,27,0,1.5356992993612162e-5,0.005212962634657722,0.06536565486754893
1,1998,28,0,9.228158806656141e-6,0.004400881886067366,0.06363335174318234
1,1998,29,0,5.333996148745765e-6,0.0037237650499632904,0.06198153192134409
1,1998,30,0,3.0484646600854303e-6,0.0031303382285021797,0.059827487816224746
2,1999,3,0,0.1987136205973006,0.28681579178115346,0.3373398468919231
2,1999,4,0,0.14773552581055271,0.2338025873934254,0.3029448899651913
2,1999,5,0,0.1094220131449823,0.19105234167881102,0.2730320367266432
2,1999,6,0,0.08401072082539798,0.15632492425040456,0.24109333258076568
2,1999,7,0,0.06349873638896694,0.12722071995644985,0.21171331357593384
2,1999,8,0,0.04924095288422769,0.10288047048052346,0.17685381666540528
2,1999,9,0,0.03864444552808962,0.08544937151313078,0.15160305796111295
2,1999,10,0,0.02906923861922645,0.06993697927214251,0.13348540104702106
2,1999,11,0,0.02376884626276254,0.05639288377939014,0.11400158946576093
2,1999,12,0,0.017938959445331897,0.046604195565321874,0.10036227808845323
2,1999,13,0,0.014111212361208186,0.03782525810827393,0.08206628596201593
2,1999,14,0,0.009831261824084956,0.03125735538240254,0.075650283569581
2,1999,15,0,0.006554821548274047,0.02618517747070256,0.06816151672369296
2,1999,16,0,0.004198646381370901,0.021786440030023387,0.06402485697985685
2,1999,17,0,0.0024383224739607727,0.018254640034671504,0.060413171165922215
2,1999,18,0,0.001545106137896768,0.015311213594637496,0.05702330641063501
2,1999,19,0,9.743302550011294e-4,0.013029591404594648,0.05444945181579273
2,1999,20,0,5.819692877500595e-4,0.011015076928012624,0.051700580023276425
2,1999,21,0,3.3690235637615155e-4,0.00918337728527364,0.04908920644716859
2,1999,22,0,1.9634560754848646e-4,0.007787075334447323,0.047094511306653916
2,1999,23,0,1.1803235095153497e-4,0.00661964729429845,0.04542510246793776
2,1999,24,0,7.107131521573947e-5,0.005535462551978197,0.043508380777924446
2,1999,25,0,4.198169308119267e-5,0.004734286994273853,0.04202740191933137
2,1999,26,0,2.4918712172454016e-5,0.00402141991324978,0.040542944556368705
2,1999,27,0,1.4687311820000627e-5,0.0034807166230796122,0.039450036218920216
2,1999,28,0,8.672151063066364e-6,0.0029586142960582127,0.03816760651739854
2,1999,29,0,5.1250673367817135e-6,0.0024880512631423853,0.036916806377544624
2,1999,30,0,3.0288125771880874e-6,0.0021074291193706393,0.03556011100820459
3,2000,3,0,0.20163423395371172,0.2191738667948892,0.2375492242170305
3,2000,4,0,0.12852905246995477,0.18504636799572904,0.2195260878222587
3,2000,5,0,0.09466208586233921,0.15068430795573143,0.19684452447020662
3,2000,6,0,0.07096706754572453,0.12368562391137816,0.1766442991441175
3,2000,7,0,0.054739444321667795,0.10084497203804965,0.15577524457340403
3,2000,8,0,0.041318657877280854,0.08202486450532619,0.13525034805560499
3,2000,9,0,0.03170286861452536,0.06682502187775977,0.11498926805492819
3,2000,10,0,0.025050889295305377,0.05527017972083219,0.09827426579994729
3,2000,11,0,0.01904544290733026,0.045125199330542154,0.08597952335959624
3,2000,12,0,0.01533052131485139,0.03644734206748763,0.0740716675700622
3,2000,13,0,0.011614955438857781,0.029964934221874226,0.06467344039349608
3,2000,14,0,0.009207715088481819,0.024411310318880258,0.05362236322800744
3,2000,15,0,0.00637580594537048,0.020163552261976657,0.049145709130976295
3,2000,16,0,0.004133893849075664,0.01693981966953889,0.044664712838562284
3,2000,17,0,0.0027046452704029937,0.014124410063675964,0.04166599403653105
3,2000,18,0,0.001597342073111592,0.011886758187499336,0.03908413804095121
3,2000,19,0,9.958639566630143e-4,0.00997022001736688,0.03679455128547577
3,2000,20,0,6.238283188311053e-4,0.008429684216420527,0.03513011761901973
3,2000,21,0,3.663410910252045e-4,0.007121535967733372,0.03318280523961845
3,2000,22,0,2.141382365583901e-4,0.0059605582863035775,0.031722824667724886
3,2000,23,0,1.2792147716407282e-4,0.005006380815202587,0.030526802307430056
3,2000,24,0,7.64933363539271e-5,0.004259757450112335,0.0292338171637364
3,2000,25,0,4.5102931372783255e-5,0.0035955420838198727,0.02812173194175134
3,2000,26,0,2.6811313983673403e-5,0.00306003257414483,0.02710405285177553
3,2000,27,0,1.590319742811509e-5,0.002578429479538633,0.025969511056523138
3,2000,28,0,9.375931293084078e-6,0.002225403237493548,0.025155051339826647
3,2000,29,0,5.525501220868627e-6,0.0019052621028708761,0.024270687517758394
3,2000,30,0,3.256364316084439e-6,0.0016102870440615645,0.02339167915089941
4,2001,3,0,0.17032342355170443,0.18601518934432226,0.2027029579368504
4,2001,4,0,0.09994960735743454,0.11131256563616077,0.12223097050787031
4,2001,5,0,0.06513051588907987,0.0935155587135414,0.11251033435520764
4,2001,6,0,0.048006681105410905,0.07624507825677848,0.10026447682865343
4,2001,7,0,0.03554244056076857,0.06256304827260548,0.09045530231428552
4,2001,8,0,0.027498528233163996,0.05128017144622491,0.07963948765924872
4,2001,9,0,0.02104948004595056,0.04162765776400565,0.06905041881148082
4,2001,10,0,0.015939992971412718,0.033922055933116604,0.05848113014366008
4,2001,11,0,0.012736765067348053,0.027967772597544106,0.05047426653344072
4,2001,12,0,0.009755053076129182,0.022899665368640975,0.04417526813288413
4,2001,13,0,0.007703352211820576,0.018390632828649653,0.03746557330729918
