iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.514070630296992,0.5730357601537694,0.6406160231722441
1,1998,4,0,0.44548641649539317,0.501281272037784,0.5580853082465409
1,1998,5,0,0.37465069438021925,0.4131929550609905,0.4599544136874469
1,1998,6,0,0.3463719479118495,0.3815691748674543,0.4193638444101945
1,1998,7,0,0.29531192331763795,0.33687462374951527,0.37621939357066925
1,1998,8,0,0.2044159045018554,0.23412901201334452,0.273656229627764
1,1998,9,0,0.17303050978127732,0.20103525484345458,0.2301487523098826
1,1998,10,0,0.13994238528377262,0.16753867055042382,0.19782327353997264
1,1998,11,0,0.11313559107549405,0.13407765594561427,0.1581104568439504
1,1998,12,0,0.10520814561507338,0.12250271000717625,0.1404022113393141
1,1998,13,0,0.0921495050298653,0.10979023280602221,0.1290844876140518
1,1998,14,0,0.0705137845267337,0.09222682562225964,0.11336818191869
1,1998,15,0,0.05744373374965479,0.08276031251699106,0.10539315331169921
1,1998,16,0,0.04639124156555311,0.07527423886356893,0.10104436290765902
1,1998,17,0,0.039602147133280405,0.07057428248751091,0.0989888072273319
1,1998,18,0,0.03266105706240794,0.06621949990515438,0.09855925710175333
1,1998,19,0,0.02717756499373229,0.06304229587431164,0.10040757525738012
1,1998,20,0,0.023604085623863572,0.06213316445096649,0.10494028914034724
1,1998,21,0,0.019212325764337942,0.058933592977938654,0.10628080290299684
1,1998,22,0,0.016162905464694784,0.0567258522017179,0.1104357524611675
1,1998,23,0,0.014609151126699804,0.058777596335547126,0.1207028052767018
1,1998,24,0,0.012275859302571303,0.05719541989456998,0.12659921392385717
1,1998,25,0,0.010310207979801556,0.0566572010668949,0.13703895817775008
1,1998,26,0,0.009052867385854207,0.059535921124554955,0.15299883226723915
1,1998,27,0,0.007632224381740468,0.0576889336963578,0.15945457204744246
1,1998,28,0,0.0064584086689524105,0.05646197924496016,0.164594026280691
1,1998,29,0,0.005575903923022924,0.05580334127197048,0.177157750198571
1,1998,30,0,0.004751343469165798,0.05350089186897314,0.17988550043282314
2,1999,3,0,0.5046045031353431,0.5593006459609777,0.6294444368051303
2,1999,4,0,0.4440620136761145,0.49389619961348147,0.5478881742762961
2,1999,5,0,0.38590606128227234,0.43221386773963255,0.480992401008253
2,1999,6,0,0.3244290980558364,0.3552784899501533,0.39327521006944277
2,1999,7,0,0.29064370371141046,0.31786357496157547,0.34833106811967707
2,1999,8,0,0.24633049713440655,0.2809303782599819,0.3124695596794181
2,1999,9,0,0.17017887729843417,0.19535172697790743,0.2269758012046858
2,1999,10,0,0.14468697889282647,0.16674985178139334,0.1907927837499232
2,1999,11,0,0.11837173981485218,0.13940523850677408,0.16197518739102457
2,1999,12,0,0.09391897974217922,0.11119086243957615,0.13050497753476947
2,1999,13,0,0.0856322716352691,0.09975240154139367,0.1138479017929274
2,1999,14,0,0.07476590678081314,0.0895341770662895,0.10495905861992576
2,1999,15,0,0.05759694280826502,0.0753578228791775,0.0916423962256231
2,1999,16,0,0.047564666376432765,0.06972955263662003,0.08769028400959002
2,1999,17,0,0.03863182389668758,0.06321158201181495,0.08432951903349586
2,1999,18,0,0.03295010980740813,0.05936790036575412,0.08218361651545639
2,1999,19,0,0.028092569205536495,0.05715391603563347,0.0842351592709682
2,1999,20,0,0.02314454763639303,0.05440189134435999,0.08570132836053652
2,1999,21,0,0.01998440981343396,0.05353451729723184,0.09069769120110095
2,1999,22,0,0.016657594618383363,0.051537200406497286,0.09348177739394795
2,1999,23,0,0.014121991076145087,0.04967034798109224,0.09640082747169994
2,1999,24,0,0.012697899186479617,0.05133790621361475,0.10561812752557231
2,1999,25,0,0.010716843681016311,0.05057712953752384,0.1118693692881859
2,1999,26,0,0.009008654847961105,0.049306977883400625,0.11892677923480025
2,1999,27,0,0.007912463190196941,0.05224616279599553,0.13654730828400627
2,1999,28,0,0.00664150716695434,0.050355449057713345,0.14009787562494705
2,1999,29,0,0.0056131610649119154,0.04948885659417684,0.14496194443326726
2,1999,30,0,0.004859044568704152,0.049165686301042275,0.15440966834576095
3,2000,3,0,0.6720140813495107,0.7370607141858916,0.808376539399987
3,2000,4,0,0.46999402028986953,0.5216731066730264,0.5872608332277895
3,2000,5,0,0.4145000028790362,0.46084213385524564,0.5123257394039782
3,2000,6,0,0.36136833940681795,0.4022885338712474,0.4496659172837497
3,2000,7,0,0.29862005213685366,0.3267777827512124,0.3611298457358353
3,2000,8,0,0.2673354726637741,0.29213235141713756,0.31919388413564986
3,2000,9,0,0.22777586656038398,0.2578255619715581,0.28640927842658276
