iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.3715421810133055,0.6021403678722612,0.7782391122430777
1,1998,4,0,0.290289279118683,0.493066408961215,0.6919311530853436
1,1998,5,0,0.21572853229340824,0.40370899511287106,0.6071429284795405
1,1998,6,0,0.16526639504689283,0.32516343251237656,0.5386323500229223
1,1998,7,0,0.12263846729969693,0.2610960398804501,0.44848639700895593
1,1998,8,0,0.08718643500025589,0.2032450851306674,0.38421453832060903
1,1998,9,0,0.06614655055564266,0.16084202467799866,0.3204675923473526
1,1998,10,0,0.04695683433673643,0.1274430507927204,0.2638417466181072
1,1998,11,0,0.03613411854622755,0.09908639167612335,0.22460736282772914
1,1998,12,0,0.02645171312160624,0.07804036867535542,0.1767188466414228
1,1998,13,0,0.017802530044197174,0.06065332231389736,0.1499455627486776
1,1998,14,0,0.010594534537294871,0.0462287235604861,0.13100903748140635
1,1998,15,0,0.0064811683802797745,0.036262592558287926,0.11503523936395764
1,1998,16,0,0.003925544014312948,0.0293736515516276,0.10301296851648144
1,1998,17,0,0.002330848272919908,0.023872232212926746,0.0929453626996098
1,1998,18,0,0.0013803656300735415,0.01943781023302598,0.08865353795684448
1,1998,19,0,7.839504924255122e-4,0.016486663360437873,0.08544852942329798
1,1998,20,0,4.5103498552256786e-4,0.014021981303494049,0.08353480875281984
1,1998,21,0,2.5128876257994544e-4,0.011827175157489279,0.08068955719893144
1,1998,22,0,1.3725053900316185e-4,0.010310753975651024,0.08309607703784654
1,1998,23,0,7.580540452885601e-5,0.008949083499281214,0.0853377204015832
1,1998,24,0,4.1332979913479776e-5,0.0080670361241933,0.08707115345038186
1,1998,25,0,2.3015254871451542e-5,0.00719394244877259,0.08765262181527558
1,1998,26,0,1.2735682756536616e-5,0.006393896421365652,0.09255218771830319
1,1998,27,0,7.87177138808114e-6,0.005656100226575125,0.09719298977278068
1,1998,28,0,4.419142505730284e-6,0.004974338080652923,0.09821438189279229
1,1998,29,0,2.527093189683853e-6,0.004402703455955214,0.09874035101262063
1,1998,30,0,1.500904586781676e-6,0.003847758404261296,0.09935415387253732
2,1999,3,0,0.4457758817102368,0.6312106439374616,0.7363528218168144
2,1999,4,0,0.3245498175856513,0.5203533584515848,0.6722560976161639
2,1999,5,0,0.2481672864870282,0.42664309460903915,0.6015160495090269
2,1999,6,0,0.18637516885018474,0.348656802373453,0.5245699909747995
2,1999,7,0,0.1392171599577313,0.272995075019303,0.4550327082410734
2,1999,8,0,0.10215503951957403,0.21868559262346646,0.37753906332007586
2,1999,9,0,0.07321794780110609,0.1702693551377587,0.32503007098701897
2,1999,10,0,0.05541898574058954,0.1341404009842045,0.2699212890428673
2,1999,11,0,0.039500188307204996,0.1061543044304935,0.22159403833044433
2,1999,12,0,0.030218447400110097,0.08296156927776074,0.18830369718204487
2,1999,13,0,0.021815742325900885,0.0638056577715744,0.1470077406230075
2,1999,14,0,0.014624956455210709,0.04975038015987166,0.1217943269200024
2,1999,15,0,0.008603673032773021,0.037925754725122114,0.10825722861447402
2,1999,16,0,0.005483498073028324,0.030566835911469383,0.09748330921048143
2,1999,17,0,0.00327528784897549,0.024717814631000017,0.08724209575059383
2,1999,18,0,0.0019360747722903943,0.020129866705982335,0.07865563958877211
2,1999,19,0,0.0012001436010578754,0.01691321237827685,0.07617961525982989
2,1999,20,0,6.882356931232148e-4,0.014313094044885621,0.07398003088423757
2,1999,21,0,3.9704430223116635e-4,0.01213172254299369,0.0724384392286365
2,1999,22,0,2.223455930188337e-4,0.010438834226186381,0.07144609044447658
2,1999,23,0,1.210252560165057e-4,0.009137620457263053,0.07326244739672198
2,1999,24,0,6.651754861261844e-5,0.007933863177295313,0.07555696950247365
2,1999,25,0,3.681217720991355e-5,0.00719542743420158,0.07739373275230049
2,1999,26,0,2.0492590304346673e-5,0.006392389331554369,0.07855785320679573
2,1999,27,0,1.1447716701614362e-5,0.0056838385192731124,0.08204916258199539
2,1999,28,0,6.863880129900263e-6,0.0050064093162235914,0.08557810722747829
2,1999,29,0,3.858719039200727e-6,0.004416024820489436,0.08629599110338512
2,1999,30,0,2.2034585829862725e-6,0.003907696542490088,0.08813617084957047
3,2000,3,0,0.7026933779250328,0.725490255909508,0.7471550526013475
3,2000,4,0,0.42927445228716377,0.6070713389662855,0.7101511754986365
3,2000,5,0,0.31263867233614195,0.5010431440815333,0.649204700908264
3,2000,6,0,0.2387080319846073,0.4098941355925796,0.578798584664103
3,2000,7,0,0.1772479629020272,0.3334315231097832,0.5007693289324412
3,2000,8,0,0.13268922208497605,0.26090942867724864,0.43622885670486344
3,2000,9,0,0.098435464926149,0.20922417687266326,0.36011172364402855
3,2000,10,0,0.06993222187564103,0.16284855069822107,0.30932002657806734
3,2000,11,0,0.053085689454303475,0.12780647578647947,0.25897350449847845
3,2000,12,0,0.037734551068510216,0.10154904505819456,0.2112290079272713
3,2000,13,0,0.028611082131520256,0.07869070572046838,0.17833610296320365
3,2000,14,0,0.02077028184578348,0.06058965426457202,0.13884806203619995
3,2000,15,0,0.013824856013011658,0.04716939795368676,0.11534460541967306
3,2000,16,0,0.008234976559962996,0.03616919214302952,0.10362195339633279
3,2000,17,0,0.00526797305642202,0.0293560829685421,0.09275851549706775
3,2000,18,0,0.0031446091075131243,0.02360577463288522,0.08335005417635369
3,2000,19,0,0.0018644201572478533,0.019427179207833788,0.07605986507829782
3,2000,20,0,0.0011618728903758095,0.016261240025893686,0.07366267059861081
3,2000,21,0,6.660543645880311e-4,0.01380401442771153,0.07109257979412975
3,2000,22,0,3.825067007769866e-4,0.011746969573278032,0.07051055632831546
3,2000,23,0,2.1447359072415621e-4,0.010112950304087685,0.0690847839645832
3,2000,24,0,1.1611750890199918e-4,0.00880630484647834,0.07121374560729651
3,2000,25,0,6.449790685905863e-5,0.007690497451521184,0.07367469147179047
3,2000,26,0,3.572842652760185e-5,0.006974892985337196,0.07517394178563908
3,2000,27,0,1.9787346731794554e-5,0.00618766268818266,0.07560784084935376
3,2000,28,0,1.112554524073371e-5,0.005486144239155681,0.078911537666482
3,2000,29,0,6.676333669709745e-6,0.00484982468498032,0.08315781323806637
3,2000,30,0,3.7472249230479397e-6,0.004272530146738638,0.08388022584783782
4,2001,3,0,0.6054947605647807,0.627186740992729,0.6505849406043882
4,2001,4,0,0.5238505209955745,0.5450768479371209,0.5679170355677492
4,2001,5,0,0.32161708478575723,0.4574969381208578,0.5348855242919981
4,2001,6,0,0.2343528755919124,0.37503495172567536,0.4862494801794043
4,2001,7,0,0.16902813524781196,0.2898221733377274,0.4102216507260096
4,2001,8,0,0.1263766087498451,0.23602834839239495,0.35658247088838396
4,2001,9,0,0.09258181658674723,0.18480409586660068,0.3056552873305538
4,2001,10,0,0.06929362411121581,0.14713480091833744,0.2546986538731029
4,2001,11,0,0.04958070521665106,0.11444776176445903,0.21978692858455365
4,2001,12,0,0.03732117194936951,0.09016368368232286,0.1815952578633434
4,2001,13,0,0.025235203006334906,0.06824111709541761,0.14314458421530563
4,2001,14,0,0.019306832510043673,0.05297540072606379,0.11964559187241038
4,2001,15,0,0.013794618233910141,0.04114340703920061,0.09409996319399118
4,2001,16,0,0.009938711268241366,0.0335113372689109,0.08283238391256394
4,2001,17,0,0.005877944625472027,0.026039568810955864,0.0728359519545567
4,2001,18,0,0.0037126578197869487,0.020925716509948164,0.06571241365474169
4,2001,19,0,0.0023916641119880455,0.017922785290656343,0.06306244049525779
4,2001,20,0,0.0014051099077433907,0.014661198908294367,0.057213301686136975
4,2001,21,0,8.680865981887179e-4,0.012296846194036795,0.05574017677762128
4,2001,22,0,5.231702233554797e-4,0.010786078372054161,0.05547214279152653
4,2001,23,0,2.97487513556932e-4,0.00920850289651234,0.05439820748863592
4,2001,24,0,1.6969584710852691e-4,0.007882215457387268,0.053866239019463795
4,2001,25,0,9.1782505817635e-5,0.006964349548643961,0.05616658097489632
4,2001,26,0,5.177201002911042e-5,0.006112730873543077,0.0571268555444689
4,2001,27,0,2.8466839041950977e-5,0.005496293755791607,0.05934796639667622
4,2001,28,0,1.5815455740336057e-5,0.00485721165497186,0.05919102888771363
4,2001,29,0,8.779515400071637e-6,0.004287756420395749,0.0615375237647254
4,2001,30,0,5.227175933853017e-6,0.0037790494457070976,0.06499419235799378
5,2002,3,0,0.6118236449580947,0.6350845537884383,0.6572250671038689
5,2002,4,0,0.5278309942583592,0.5495930426438522,0.5722160442320395
5,2002,5,0,0.4567285614088796,0.4774991568307343,0.49977814035305407
5,2002,6,0,0.2812288194121355,0.40077993981598764,0.46925054055917076
5,2002,7,0,0.20011248642923476,0.32033587918264617,0.41697798929216306
5,2002,8,0,0.14361216643421246,0.2474507685440584,0.35032892549711186
5,2002,9,0,0.10726815920295306,0.19997597983087784,0.3046355407976077
5,2002,10,0,0.07878177158656126,0.1568833904342352,0.2593302001537619
5,2002,11,0,0.058211519572080136,0.12477901093433523,0.21543845246896098
5,2002,12,0,0.041984890723061476,0.0970233452040408,0.18673122220325877
5,2002,13,0,0.031215378218737697,0.07531840799619349,0.15092647713944204
5,2002,14,0,0.02114736821115472,0.057063182206728506,0.11846678924021559
5,2002,15,0,0.016167605396039286,0.04414801299244622,0.09989474770525578
5,2002,16,0,0.01181679264487425,0.03513102911740553,0.0799060769196372
5,2002,17,0,0.008481539534140286,0.028688593572843556,0.07141089309698304
5,2002,18,0,0.005066298358959212,0.022168699105406267,0.062061233939018856
5,2002,19,0,0.0032300162641165074,0.01846492737736285,0.05806954792754745
5,2002,20,0,0.0020988121182614087,0.015747753025927375,0.05579872600116415
5,2002,21,0,0.0012427817644803667,0.012849458695210364,0.05013702128374951
5,2002,22,0,7.71500913344997e-4,0.010975705274916961,0.04979037777873257
5,2002,23,0,4.684640588642953e-4,0.00955558202079498,0.04926508060261878
5,2002,24,0,2.6508296667363343e-4,0.008179819093208873,0.048803826958699274
5,2002,25,0,1.5136915076684396e-4,0.007066971196658155,0.04823065740607403
5,2002,26,0,8.188941941175569e-5,0.0062844546436589465,0.05046900525101329
5,2002,27,0,4.5950134811276724e-5,0.005484984036232965,0.0511774050111766
5,2002,28,0,2.557323920756465e-5,0.004926724431222847,0.05331533417604506
5,2002,29,0,1.412319451698618e-5,0.0043509715132956095,0.053216135208906945
5,2002,30,0,7.87796975584034e-6,0.003857394065631252,0.05549879574553098
6,2003,3,0,0.580232264181532,0.602009475936199,0.6234931830011401
6,2003,4,0,0.5567930652968444,0.5795987427683866,0.6016055415107567
6,2003,5,0,0.4806912437419841,0.5014624849543006,0.5235658084073201
6,2003,6,0,0.4162360862380742,0.4355850737011292,0.45697015503522864
