iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.0019552716850455903,0.06113609375603814,0.5115791801368422
1,1998,4,0,3.1066235586792336e-4,0.015568884590693784,0.2937818205948552
1,1998,5,0,5.180085548772037e-5,0.003685690019395149,0.13846210762417455
1,1998,6,0,5.654474295974054e-6,0.0010230580339597457,0.05759825963111282
1,1998,7,0,1.113164555617151e-6,2.493526085480751e-4,0.02335846089190655
1,1998,8,0,1.4331998399329384e-7,6.32518278910027e-5,0.008922438177425532
1,1998,9,0,2.651222552668373e-8,1.682041440310733e-5,0.003233217278987178
1,1998,10,0,5.638878000715631e-9,4.1645309850209265e-6,0.0011576132683967931
1,1998,11,0,1.2812955678166806e-9,1.0498798223086306e-6,4.1824741569345666e-4
1,1998,12,0,1.9556721496439086e-10,2.692940639066618e-7,1.5375405171315194e-4
1,1998,13,0,2.2253357535640977e-11,6.682003694570279e-8,6.527841003375999e-5
1,1998,14,0,1.3610765777261017e-12,1.9050982410913375e-8,3.7685137858515845e-5
1,1998,15,0,6.366632252096617e-14,5.654451689952989e-9,3.182377402760982e-5
1,1998,16,0,2.402398199100104e-15,1.781523428809448e-9,2.4051089035816457e-5
1,1998,17,0,8.070976838315332e-17,5.642906712291253e-10,2.1102304615455407e-5
1,1998,18,0,2.171632404768347e-18,1.6888796455253309e-10,1.6901598843729345e-5
1,1998,19,0,5.938199598862277e-20,5.1835822167430885e-11,1.3465117474535303e-5
1,1998,20,0,1.844828202954139e-21,1.6256068025161647e-11,1.161394224464369e-5
1,1998,21,0,5.231360201161989e-23,4.801700467962611e-12,9.0150052112474e-6
1,1998,22,0,1.5273638368435611e-24,1.2897820838587453e-12,8.342329548590213e-6
1,1998,23,0,4.7571638546424615e-26,4.1268327567097907e-13,6.737864947983139e-6
1,1998,24,0,1.466424064063275e-27,1.277553308099e-13,6.070994329841206e-6
1,1998,25,0,4.975021193262361e-29,3.8611148657931396e-14,5.218369268805071e-6
1,1998,26,0,1.154274497807362e-30,1.1806595681636981e-14,4.658948707574937e-6
1,1998,27,0,3.254960903984491e-32,3.911677570813771e-15,4.397124644882798e-6
1,1998,28,0,9.227328345428116e-34,1.125138875709129e-15,4.148596179539816e-6
1,1998,29,0,2.1950379576538515e-35,3.706436178327466e-16,3.449250989538062e-6
1,1998,30,0,5.203431419459661e-37,1.177167424204495e-16,2.7428015372002536e-6
2,1999,3,0,0.017348812631890094,0.23258468014419412,0.6845218655884691
2,1999,4,0,0.0016366257232278301,0.05154297059940506,0.4275018230247475
2,1999,5,0,2.632153044804944e-4,0.012971289620516068,0.246384138965047
2,1999,6,0,4.204078032107558e-5,0.003100843148167427,0.11752535089773347
2,1999,7,0,4.717389432525199e-6,8.530166050595259e-4,0.048105305199602384
2,1999,8,0,9.319849085652844e-7,2.0820363771357413e-4,0.019464910454257002
2,1999,9,0,1.1896780082296807e-7,5.329795025855166e-5,0.007550345180502659
2,1999,10,0,2.222344125659189e-8,1.408709605808736e-5,0.0027238649788323506
2,1999,11,0,4.719107939079848e-9,3.4993651613783112e-6,9.757932758130654e-4
2,1999,12,0,1.090854014389568e-9,8.896042698597796e-7,3.545822072559132e-4
2,1999,13,0,1.6373307110075508e-10,2.251147262235667e-7,1.255312139092789e-4
2,1999,14,0,1.8565496950517773e-11,5.6216509225151573e-8,5.4270381871178275e-5
2,1999,15,0,1.1324509866228618e-12,1.6062192624409657e-8,3.212110664762538e-5
2,1999,16,0,5.3397121322646066e-14,4.752893834772111e-9,2.672357485800725e-5
2,1999,17,0,2.013695100617946e-15,1.5029947844318672e-9,2.071383196154687e-5
2,1999,18,0,6.748257101408065e-17,4.728245511595462e-10,1.784575640765688e-5
2,1999,19,0,1.8222931248998717e-18,1.4324377460651985e-10,1.429078707163529e-5
2,1999,20,0,4.950880364669356e-20,4.372983157211787e-11,1.1260855256837237e-5
2,1999,21,0,1.5492536461181623e-21,1.3450118348419188e-11,9.871621439578557e-6
2,1999,22,0,4.416558033541598e-23,4.036198053356273e-12,7.601632703794031e-6
2,1999,23,0,1.2833369172218181e-24,1.0798029785651145e-12,7.25807463494253e-6
2,1999,24,0,4.040508107058105e-26,3.4660605399169284e-13,5.531684213975988e-6
2,1999,25,0,1.206245815704931e-27,1.0700674477062956e-13,5.114287374228966e-6
2,1999,26,0,4.2246333468789085e-29,3.2371220593984954e-14,4.4013839145188735e-6
2,1999,27,0,9.59607793182381e-31,9.754360326053312e-15,3.86875512658141e-6
2,1999,28,0,2.705547329427979e-32,3.2900449979202483e-15,3.651339506051053e-6
2,1999,29,0,7.667972230893399e-34,9.44745602626914e-16,3.4442174443965607e-6
2,1999,30,0,1.8256495494057124e-35,3.0997672408615124e-16,2.8782381376789244e-6
3,2000,3,0,0.6540075853967822,0.6787587796960834,0.7044421330778846
3,2000,4,0,0.01664966485263443,0.2214887688421262,0.65625443821482
3,2000,5,0,0.0015669895561146842,0.04915076787024226,0.4082345569998634
3,2000,6,0,2.5254486249494943e-4,0.012466675883510928,0.23589142852989475
3,2000,7,0,4.0072244446297214e-5,0.002952957719263248,0.1124740837564312
3,2000,8,0,4.525286811531879e-6,8.143023658997567e-4,0.04615262091540487
3,2000,9,0,8.863279457375542e-7,2.001929338164839e-4,0.01881703787778405
3,2000,10,0,1.1473795131917068e-7,5.103200075227084e-5,0.007281217195298767
3,2000,11,0,2.1305863579133696e-8,1.346954186834e-5,0.0026008516294685194
3,2000,12,0,4.522749001337568e-9,3.330996497186031e-6,9.243011305874027e-4
3,2000,13,0,1.0383849085469915e-9,8.485368443973758e-7,3.38319775989635e-4
3,2000,14,0,1.5708208773299174e-10,2.15272431037129e-7,1.1977451338945048e-4
3,2000,15,0,1.782584883323231e-11,5.374773368582339e-8,5.226293416343572e-5
3,2000,16,0,1.0855679263512114e-12,1.5336647061679904e-8,3.066465551897609e-5
3,2000,17,0,5.133451736693229e-14,4.547952859403361e-9,2.552823871751438e-5
3,2000,18,0,1.93589499477445e-15,1.4241635076789088e-9,1.977936844180671e-5
3,2000,19,0,6.488709199969736e-17,4.50572520133889e-10,1.706121019648235e-5
3,2000,20,0,1.735859998625218e-18,1.3719216751948045e-10,1.3664719763819887e-5
3,2000,21,0,4.755261430238998e-20,4.194628870010313e-11,1.0708439707318541e-5
3,2000,22,0,1.4576551822442935e-21,1.2951623054208242e-11,9.504564756571511e-6
3,2000,23,0,4.213775364651286e-23,3.855953349515625e-12,7.244055898244616e-6
3,2000,24,0,1.2294567506627565e-24,1.0271743032075843e-12,6.837261669509027e-6
3,2000,25,0,3.893818732706788e-26,3.2800740236982464e-13,5.2991031781134e-6
3,2000,26,0,1.1518270957151208e-27,1.0259926944076598e-13,4.92214961790019e-6
3,2000,27,0,4.072014194842194e-29,3.0796639305614394e-14,4.162516246644596e-6
3,2000,28,0,9.273959492635304e-31,9.331685263315894e-15,3.725779774521794e-6
3,2000,29,0,2.614779711418031e-32,3.1394330838102925e-15,3.5163979013807784e-6
3,2000,30,0,7.410107918622868e-34,9.076635648413242e-16,3.317750447868994e-6
4,2001,3,0,0.5432304243848194,0.5684666114269787,0.5930156188440433
4,2001,4,0,0.4580827375467498,0.48071800702063505,0.5061178251464131
4,2001,5,0,0.011634380929211569,0.15718379158748236,0.4638904970549208
4,2001,6,0,0.001108985297908742,0.03480638668359563,0.2892401900791339
4,2001,7,0,1.7568312104202739e-4,0.008897027563256978,0.17124723553886137
4,2001,8,0,2.7975634492835844e-5,0.0020821906640838936,0.07906077530981663
4,2001,9,0,3.181363265330872e-6,5.762148230431343e-4,0.03304812176308706
4,2001,10,0,6.401348981208237e-7,1.4103329718580287e-4,0.013345230039412138
4,2001,11,0,8.19014653914028e-8,3.621410992553027e-5,0.005203245000972876
4,2001,12,0,1.511279882122845e-8,9.430634246060444e-6,0.001827531794517943
4,2001,13,0,3.179424370202848e-9,2.3601754629355386e-6,6.512648005195503e-4
4,2001,14,0,7.350641230299845e-10,5.932027521983342e-7,2.4234517871356306e-4
4,2001,15,0,1.118647351947325e-10,1.5132003016184673e-7,8.51296206718601e-5
4,2001,16,0,1.2724525911662685e-11,3.8235071539732005e-8,3.8108975282832076e-5
4,2001,17,0,7.811255291532014e-13,1.0874276710721454e-8,2.1348986831018268e-5
4,2001,18,0,3.617066507023681e-14,3.195818133963343e-9,1.808913544982829e-5
4,2001,19,0,1.3862880072382982e-15,1.018195257470502e-9,1.381070376644376e-5
4,2001,20,0,4.6937364534969095e-17,3.1619549355833694e-10,1.193651372829049e-5
4,2001,21,0,1.240340296164065e-18,9.651052359097935e-11,9.558549174879719e-6
4,2001,22,0,3.3054615477095313e-20,2.9784221807690156e-11,7.63573535790021e-6
4,2001,23,0,1.0291732369351253e-21,9.194034970252578e-12,6.768562602821305e-6
4,2001,24,0,3.0239410339415837e-23,2.7168736552432867e-12,4.949334067507594e-6
4,2001,25,0,8.559553135335845e-25,7.304907649662812e-13,4.780123942033784e-6
4,2001,26,0,2.756721713093677e-26,2.3242411936259074e-13,3.7788371429716666e-6
4,2001,27,0,8.238632654071489e-28,7.460300634010138e-14,3.373269453149078e-6
4,2001,28,0,2.88462582529886e-29,2.1693527004107847e-14,2.875411093039218e-6
4,2001,29,0,6.5596262097192646e-31,6.685346222026932e-15,2.6534874546035467e-6
4,2001,30,0,1.8495561709023466e-32,2.217251737486125e-15,2.5043650428220875e-6
5,2002,3,0,0.5521283521500763,0.5780861717178478,0.6018778277770866
5,2002,4,0,0.46158494748214757,0.48523310440144507,0.5094394163979415
5,2002,5,0,0.3879294478262402,0.41065604095694996,0.43331286405969727
5,2002,6,0,0.009892688075216063,0.13477506725669303,0.39631795172915474
5,2002,7,0,9.553385607070057e-4,0.029532761353830914,0.24535599411073342
5,2002,8,0,1.4746353939462726e-4,0.007602013298697129,0.14816749555146622
5,2002,9,0,2.4019061669627577e-5,0.0017875472300161776,0.06721823688805979
5,2002,10,0,2.7396326919511863e-6,4.947138648079021e-4,0.028338756265762335
5,2002,11,0,5.376493610333389e-7,1.2011664550587091e-4,0.011360386445577113
5,2002,12,0,6.95849872568081e-8,3.065532927963582e-5,0.00434933034705324
5,2002,13,0,1.2831557705510626e-8,8.058751491325197e-6,0.001557803685873162
5,2002,14,0,2.701008184709721e-9,2.0056506616208317e-6,5.506241438089033e-4
5,2002,15,0,6.352643013269559e-10,5.086590264430751e-7,2.037330196699689e-4
5,2002,16,0,9.605018127353427e-11,1.2926566311685045e-7,7.218301252463035e-5
5,2002,17,0,1.0897122768820452e-11,3.260992994421024e-8,3.244708867373179e-5
5,2002,18,0,6.673623912708076e-13,9.286126572182183e-9,1.81147241972816e-5
5,2002,19,0,3.033976916139425e-14,2.758791613189967e-9,1.558192523946044e-5
5,2002,20,0,1.1700597022178163e-15,8.75922591954307e-10,1.175899351131612e-5
5,2002,21,0,3.966315933677631e-17,2.672904950432732e-10,1.0224653760395013e-5
5,2002,22,0,1.0637004021496432e-18,8.274097273845376e-11,8.186056800526773e-6
5,2002,23,0,2.8101704616509277e-20,2.5421682067270356e-11,6.5053568083682506e-6
5,2002,24,0,8.810553668344972e-22,7.840144415314208e-12,5.720436596396268e-6
5,2002,25,0,2.5780535842065216e-23,2.314888413608643e-12,4.20544081122009e-6
5,2002,26,0,7.26266949268364e-25,6.273436500557849e-13,4.0764955619231864e-6
5,2002,27,0,2.338908303626613e-26,1.9990100942978245e-13,3.297499487202827e-6
5,2002,28,0,7.000463662974563e-28,6.382961544145342e-14,2.8859866830896585e-6
5,2002,29,0,2.4471583500523232e-29,1.864756721611065e-14,2.475014942476873e-6
5,2002,30,0,5.607864018650041e-31,5.80329087015666e-15,2.2456825874252935e-6
6,2003,3,0,0.5167979966626693,0.5418192353299529,0.5648770658614779
