iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.5541201398741072,0.5744918687243635,0.5962077497615865
1,1998,4,0,0.4793658548047548,0.4978401204473635,0.516087041174363
1,1998,5,0,0.40654725220831905,0.42155151815848596,0.43667318834913954
1,1998,6,0,0.3563766876499577,0.37016432688978756,0.38455315894373077
1,1998,7,0,0.2912302557420244,0.3046342348368707,0.3172016406941257
1,1998,8,0,0.23196606843014209,0.2432470462337728,0.2552220573727975
1,1998,9,0,0.19948524718478877,0.21085332894725928,0.2218807464238992
1,1998,10,0,0.15437147141613108,0.16465484116458762,0.17473984918929114
1,1998,11,0,0.12938111373576544,0.1369002721502803,0.14473494090421388
1,1998,12,0,0.10794325425658662,0.11247587349531281,0.1170482838613804
1,1998,13,0,0.08547627972700741,0.08957856394324959,0.09397286233692863
1,1998,14,0,0.0653925897343344,0.06995159921084326,0.0747321380070179
1,1998,15,0,0.05174167512189976,0.05671457823278337,0.06222579336595843
1,1998,16,0,0.04087971774664357,0.04625830240531295,0.05218140645028865
1,1998,17,0,0.03384697122445765,0.03915563751576212,0.04525134843858596
1,1998,18,0,0.02664859730408883,0.03192400282150686,0.038121885873439745
1,1998,19,0,0.02165669695760937,0.026934796439119522,0.03346465084238701
1,1998,20,0,0.01821437682581092,0.023575700822263165,0.0303833179635187
1,1998,21,0,0.014672353189733083,0.019737860576943843,0.026384535439349873
1,1998,22,0,0.012063596446037236,0.016866024906450432,0.023432651437876165
1,1998,23,0,0.010316710136609097,0.014860846101040973,0.021330733141891895
1,1998,24,0,0.00831658511587446,0.012597016571033272,0.018794914574462133
1,1998,25,0,0.007017725041502024,0.011033848394702873,0.017244805230204396
1,1998,26,0,0.005843609753765273,0.009599581140565496,0.015733633782467855
1,1998,27,0,0.004830206854236522,0.00825345328100662,0.01399489459298849
1,1998,28,0,0.004064020961741558,0.007208798596576211,0.012678425698858128
1,1998,29,0,0.0033411070451508282,0.00619994398242826,0.011423824254840178
1,1998,30,0,0.0028166538963932492,0.005367775704997238,0.010176228970283384
2,1999,3,0,0.5108285165830866,0.5296569090040002,0.5489320011554827
2,1999,4,0,0.4643393357704006,0.48199064932745833,0.4999567039951398
2,1999,5,0,0.40324563858968526,0.418180966605025,0.432507143664204
2,1999,6,0,0.3409550066956571,0.35382364820506834,0.3666383926892851
2,1999,7,0,0.2879086846140884,0.2994749625646272,0.31089468268202947
2,1999,8,0,0.23604052604490358,0.24622300161693206,0.256440545538914
2,1999,9,0,0.1877224580128116,0.19670935532661749,0.20657978645719569
2,1999,10,0,0.16095651672242592,0.16986461021818797,0.17910415370652583
2,1999,11,0,0.12437035806220087,0.13269811967134598,0.14086465405306114
2,1999,12,0,0.10424137194648585,0.11023901858930313,0.11637518708710642
2,1999,13,0,0.08448777724567874,0.08839053509080978,0.09209308853231521
2,1999,14,0,0.06696889001509744,0.07042302838020932,0.07388046584972574
2,1999,15,0,0.05121959528258311,0.05499650655982166,0.05894095317317292
2,1999,16,0,0.04183434708590036,0.046157923236069015,0.05057767466325323
2,1999,17,0,0.03307544711684725,0.03765670373691622,0.042522232599647714
